buying,maint,doors,persons,lug_boot,safety
0.5802,0.1024,0.1609,0.1986,0.1646,0.0340
-0.4109,-0.0698,-0.1638,-0.3751,-0.2700,-0.4695
0.5069,0.2967,0.4033,0.1285,-0.1050,0.0104
-0.0305,-0.3773,0.1002,-0.5477,-0.5027,-0.4013
-0.5041,-0.0287,-0.0936,-0.3915,-0.1571,-0.5843
-0.1618,-0.0740,-0.0802,0.6614,-0.0663,-0.0383
-0.4162,0.0379,-0.3758,-0.3900,-0.2057,-0.4094
-0.0271,-0.0595,-0.1188,0.2149,0.0284,0.2028
-0.2039,-0.0392,-0.2129,-0.5568,-0.3866,-0.3598
0.1406,0.1300,0.0989,0.8162,0.0867,-0.0317
0.0240,-0.0930,0.0143,-0.1429,-0.0457,0.4841
-0.0779,-0.0937,-0.0174,-0.1220,-0.0738,0.6255
-0.1060,0.0061,-0.0294,-0.1486,-0.1100,0.6286
-0.5138,-0.3929,-0.2640,-0.4160,0.0342,-0.2067
-0.0713,-0.0193,-0.1160,0.2645,0.0109,0.1720
-0.1500,-0.4744,-0.0050,-0.4370,-0.0927,-0.6002
0.4363,0.2346,0.0958,-0.0627,0.1395,0.3971
0.0113,-0.3224,-0.1290,-0.2985,-0.4057,-0.6150
0.1761,-0.1686,0.5297,0.0376,0.4486,0.2174
0.0340,0.0210,-0.0022,0.2317,0.0158,-0.0596
0.2628,0.0837,0.0435,-0.1260,0.0119,-0.0351
-0.0499,0.0383,-0.1376,0.2199,-0.0583,0.2283
0.0239,-0.1136,0.0545,-0.2052,0.0137,0.4674
-0.1061,0.0280,0.0803,0.3209,-0.0186,-0.0637
-0.1871,0.4900,-0.1431,-0.1937,0.2837,-0.0090
0.0839,-0.0060,0.0812,0.4061,-0.0487,-0.2758
0.6035,0.3228,-0.1394,-0.1592,-0.1173,-0.2696
-0.0928,-0.2796,-0.0001,0.6453,-0.0073,-0.0248
-0.5759,-0.2382,-0.0367,-0.3893,-0.0145,-0.5048
0.3489,0.0432,0.0673,-0.2699,0.0212,0.0300
0.3814,0.2924,-0.0636,-0.2310,-0.0663,-0.0722
-0.1102,0.1239,-0.0519,-0.1520,0.1206,0.3104
0.2104,0.3292,0.0154,-0.1439,0.0009,-0.1712
0.1547,0.1006,0.1853,0.3793,0.0639,0.3570
