A,P,N,V,Z,S,H,C,G
-0.3376,-0.3912,-0.0162,-0.0162,0.0374,0.0031,0.0031,0.0005,-0.0003
-0.3378,-0.3911,-0.0161,-0.0161,0.0372,0.0029,0.0029,0.0003,0.0003
-0.1759,-0.4172,-0.0422,-0.0422,-0.0353,0.0001,0.0001,-0.0024,-0.0024
-0.1826,-0.4158,-0.0408,-0.0408,-0.0419,0.0015,0.0015,-0.0010,0.0024
-0.1826,-0.4158,-0.0408,-0.0408,-0.0419,0.0015,0.0015,0.0024,-0.0010
-0.1840,-0.4154,-0.0404,-0.0404,-0.0434,0.0020,0.0020,0.0010,0.0010
-0.1751,-0.4174,-0.0424,-0.0424,-0.0345,-0.0035,-0.0001,-0.0010,-0.0010
-0.1765,-0.4169,-0.0419,-0.0419,-0.0359,-0.0031,-0.0015,-0.0005,0.0010
-0.1765,-0.4169,-0.0419,-0.0419,-0.0359,-0.0031,-0.0015,0.0010,-0.0005
-0.1770,-0.4168,-0.0418,-0.0418,-0.0364,-0.0029,-0.0020,0.0005,0.0005
-0.1751,-0.4174,-0.0424,-0.0424,-0.0345,-0.0001,-0.0035,-0.0010,-0.0010
-0.1765,-0.4169,-0.0419,-0.0419,-0.0359,-0.0015,-0.0031,-0.0005,0.0010
-0.1765,-0.4169,-0.0419,-0.0419,-0.0359,-0.0015,-0.0031,0.0010,-0.0005
-0.1770,-0.4168,-0.0418,-0.0418,-0.0364,-0.0020,-0.0029,0.0005,0.0005
-0.1840,-0.4154,-0.0404,-0.0404,-0.0434,0.0035,0.0035,-0.0005,-0.0005
-0.1844,-0.4152,-0.0402,-0.0402,-0.0438,0.0031,0.0031,-0.0003,0.0005
-0.1844,-0.4152,-0.0402,-0.0402,-0.0438,0.0031,0.0031,0.0005,-0.0003
-0.1846,-0.4151,-0.0401,-0.0401,-0.0440,0.0029,0.0029,0.0003,0.0003
-0.2018,-0.4109,-0.0359,-0.0359,-0.0107,0.0013,0.0013,-0.0124,-0.0124
-0.2958,-0.4016,-0.0266,-0.0266,0.0026,0.0106,0.0106,-0.0031,0.0124
-0.2958,-0.4016,-0.0266,-0.0266,0.0026,0.0106,0.0106,0.0124,-0.0031
-0.3051,-0.3997,-0.0247,-0.0247,0.0055,0.0125,0.0125,0.0031,0.0031
-0.1950,-0.4119,-0.0369,-0.0369,-0.0123,-0.0168,-0.0013,-0.0031,-0.0031
-0.2043,-0.4100,-0.0350,-0.0350,-0.0094,-0.0149,-0.0106,-0.0012,0.0031
-0.2043,-0.4100,-0.0350,-0.0350,-0.0094,-0.0149,-0.0106,0.0031,-0.0012
-0.2062,-0.4095,-0.0345,-0.0345,-0.0085,-0.0143,-0.0125,0.0012,0.0012
-0.1950,-0.4119,-0.0369,-0.0369,-0.0123,-0.0013,-0.0168,-0.0031,-0.0031
-0.2043,-0.4100,-0.0350,-0.0350,-0.0094,-0.0106,-0.0149,-0.0012,0.0031
-0.2043,-0.4100,-0.0350,-0.0350,-0.0094,-0.0106,-0.0149,0.0031,-0.0012
-0.2062,-0.4095,-0.0345,-0.0345,-0.0085,-0.0125,-0.0143,0.0012,0.0012
-0.3051,-0.3997,-0.0247,-0.0247,0.0055,0.0168,0.0168,-0.0012,-0.0012
-0.3070,-0.3991,-0.0241,-0.0241,0.0064,0.0149,0.0149,-0.0006,0.0012
-0.3070,-0.3991,-0.0241,-0.0241,0.0064,0.0149,0.0149,0.0012,-0.0006
-0.3076,-0.3988,-0.0238,-0.0238,0.0068,0.0143,0.0143,0.0006,0.0006
-0.3649,-0.3817,0.0101,0.0101,0.0101,-0.0001,-0.0001,-0.0005,-0.0005
-0.3653,-0.3815,0.0097,0.0097,0.0097,0.0001,0.0001,-0.0003,0.0005
-0.3653,-0.3815,0.0097,0.0097,0.0097,0.0001,0.0001,0.0005,-0.0003
-0.3655,-0.3814,0.0095,0.0095,0.0095,0.0002,0.0002,0.0003,0.0003
-0.3648,-0.3817,0.0102,0.0102,0.0102,-0.0008,0.0001,-0.0003,-0.0003
-0.3650,-0.3816,0.0100,0.0100,0.0100,-0.0007,-0.0001,-0.0002,0.0003
-0.3650,-0.3816,0.0100,0.0100,0.0100,-0.0007,-0.0001,0.0003,-0.0002
-0.3651,-0.3815,0.0099,0.0099,0.0099,-0.0006,-0.0002,0.0002,0.0002
-0.3648,-0.3817,0.0102,0.0102,0.0102,0.0001,-0.0008,-0.0003,-0.0003
-0.3650,-0.3816,0.0100,0.0100,0.0100,-0.0001,-0.0007,-0.0002,0.0003
