Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
1.146391369047619069e-01,8.965618799603174149e-02,9.457775297619047672e-02,9.981708829365079638e-02,-1.922123015873015766e-03,7.600756448412698818e-02,1.038566468253968251e-03,9.344618055555554970e-02,-8.714657738095238360e-03,-3.608475942460317304e-02
2.463107638888888812e-02,1.238110739087301543e-01,1.087177579365079388e-01,1.172123015873015872e-01,4.740203373015872655e-03,-3.038814484126984086e-02,1.983816964285714177e-02,1.190073164682539653e-01,3.760540674603174687e-03,3.113064236111110980e-02
1.299758184523809590e-02,1.246713789682539625e-01,7.811569940476190133e-02,1.318328373015872912e-01,7.442026289682539264e-03,8.154916914682540374e-02,6.759982638888889159e-03,1.015082465277777762e-01,8.714657738095238360e-03,-3.113064236111110980e-02
2.260509672619047741e-02,1.149677579365079305e-01,7.733444940476190757e-03,9.908699156746031411e-02,2.832806299603174774e-02,1.195979042658730090e-01,-2.196490575396825400e-03,9.517454117063492425e-02,1.202101934523809590e-02,2.514260912698412787e-02
2.037140376984127033e-02,1.044131324404761890e-01,9.040023561507937178e-02,1.027018229166666713e-01,9.737723214285714385e-03,1.064468625992063544e-01,-2.478608630952380820e-03,1.090603298611111105e-01,6.950644841269840862e-03,-2.514260912698412787e-02
1.393229166666666748e-02,1.081860739087301543e-01,9.320591517857142183e-02,1.070141989087301654e-01,1.034846230158730125e-02,1.094757564484127033e-01,-1.659071180555555386e-02,8.883773561507936345e-02,-1.202101934523809590e-02,2.007223462301587283e-02
1.285032242063492008e-02,1.035760788690476136e-01,9.620225694444443920e-02,1.199590773809523780e-01,8.993675595238094511e-03,1.035094246031745963e-01,-8.975074404761904101e-03,1.133680555555555552e-01,-6.950644841269840862e-03,-2.007223462301587283e-02
3.830140128968254065e-02,-7.765687003968253788e-02,-1.025235615079365115e-01,-8.880828373015872690e-02,5.653211805555555421e-03,-7.703683035714285754e-02,-1.250062003968253899e-01,-9.517454117063492425e-02,5.684213789682539437e-03,3.902839781746031411e-02
5.612444196428571092e-02,-9.249131944444444198e-02,-1.091006324404761862e-01,-8.554842509920634885e-02,3.281560019841269892e-03,-9.397166418650793052e-02,-1.900266617063492078e-02,-1.090603298611111105e-01,1.125837053571428562e-02,-3.902839781746031411e-02
3.146236359126983878e-02,-7.781187996031746490e-02,-9.895988343253968311e-02,-7.140842013888888673e-02,2.670820932539682592e-03,-8.167317708333333981e-02,-1.318994915674603086e-01,-8.883773561507936345e-02,-5.684213789682539437e-03,4.460255456349206116e-02
3.195684523809523558e-02,-9.203714037698412787e-02,-1.342494419642857040e-01,3.054470486111111188e-02,-2.867683531746031533e-03,-1.082232762896825351e-01,-3.343408978174602919e-02,-1.133680555555555552e-01,-1.125837053571428562e-02,-4.460255456349206116e-02
2.261749751984127102e-02,1.154575892857142849e-01,1.268911210317460181e-01,1.278831845238095205e-02,1.155087425595238138e-01,1.321490575396825351e-01,2.196490575396825400e-03,-2.763516865079364976e-02,-2.373201884920634729e-03,2.486049107142856984e-02
2.005983382936507922e-02,1.046099950396825462e-01,1.065367683531746046e-01,9.369574652777777624e-02,1.697513640873015914e-02,1.099748883928571425e-01,2.478608630952380820e-03,9.253627232142856707e-02,4.541790674603174731e-04,-2.486049107142856984e-02
2.104879712301587283e-02,1.194940476190476247e-01,1.152452256944444392e-01,1.053617931547619069e-01,1.820591517857142808e-02,1.229244171626984183e-01,1.659071180555555386e-02,-2.647104414682539819e-02,2.373201884920634729e-03,2.768787202380952259e-02
3.940352182539682419e-03,1.094292534722222238e-01,1.027731274801587241e-01,1.160884796626984183e-01,1.161954365079365115e-02,1.088681175595238027e-01,8.975074404761904101e-03,8.890904017857143016e-02,-4.541790674603174731e-04,-2.768787202380952259e-02
1.444382440476190410e-01,2.898840525793650730e-02,8.361235119047618833e-03,-3.066096230158730108e-03,1.433531746031745970e-02,3.293960813492063239e-02,1.250062003968253899e-01,2.763516865079364976e-02,-1.209077380952380994e-03,1.450319320436508075e-01
6.967850942460317165e-02,-8.117559523809524114e-02,-8.774801587301586658e-02,-8.300781250000000000e-02,2.460007440476190410e-03,-7.600756448412698818e-02,1.900266617063492078e-02,-9.253627232142856707e-02,-3.173053075396825400e-03,-1.450319320436508075e-01
1.292550223214285754e-01,3.474392361111110911e-02,1.311383928571428466e-03,1.842137896825396873e-02,5.693514384920634643e-03,3.038814484126984086e-02,1.318994915674603086e-01,2.647104414682539819e-02,1.209077380952380994e-03,1.430679563492063544e-01
-5.582992311507936622e-02,-6.175595238095238360e-02,-1.113916790674603224e-01,2.357235863095238221e-02,4.785156250000000347e-03,-8.154916914682540374e-02,3.343408978174602919e-02,-8.890904017857143016e-02,3.173053075396825400e-03,-1.430679563492063544e-01
-6.449962797619047256e-03,-1.117342509920634941e-01,7.538132440476190584e-03,-1.216161334325396859e-01,-2.115730406746031689e-02,-1.124271453373015817e-01,8.527095734126983323e-03,-1.146933903769841306e-01,-8.226376488095238360e-03,2.700272817460317408e-03
1.633494543650793746e-02,-1.047293526785714329e-01,-7.754061259920634608e-02,-1.099841889880952411e-01,-1.186600942460317408e-02,-1.085751488095238054e-01,-2.171688988095238186e-03,-8.879123263888888395e-02,1.248449900793650869e-02,-2.700272817460317408e-03
4.464285714285714038e-03,-1.022212921626984156e-01,-7.421409970238095066e-02,-1.054485987103174621e-01,-1.103205605158730229e-02,-1.101593501984126922e-01,-4.155815972222222203e-03,-1.064096602182539736e-01,8.226376488095238360e-03,2.341114831349206185e-02
7.939608134920634469e-03,-1.111839657738095261e-01,1.137152777777777728e-02,-1.108258928571428520e-01,-2.033730158730158791e-02,-1.148530505952380931e-01,-5.952380952380952051e-03,-9.780195932539682835e-02,-1.248449900793650869e-02,-2.341114831349206185e-02
2.474113343253968311e-02,1.036768353174603169e-01,1.095951140873015900e-01,9.210689484126984017e-02,-7.924107142857142461e-03,7.476593501984127310e-02,-1.785404265873015775e-02,1.146933903769841306e-01,5.735367063492063445e-05,2.860243055555555455e-02
1.309012276785714302e-01,9.743613591269841001e-02,9.275018601190476719e-02,8.671719990079365670e-02,-1.443297371031746108e-02,8.282025049603174149e-02,-1.739366319444444337e-02,8.879123263888888395e-02,3.473772321428571230e-03,-2.860243055555555455e-02
2.580760168650793676e-02,1.066840277777777735e-01,1.029653397817460320e-01,1.001875620039682502e-01,-6.933593749999999653e-03,7.741040426587302015e-02,-2.203156001984126963e-02,1.064096602182539736e-01,-5.735367063492063445e-05,3.201884920634920362e-02
1.269903273809523947e-01,1.007176959325396803e-01,9.315941220238095621e-02,9.594649057539682280e-02,-2.089998759920634955e-02,8.445560515873015706e-02,-2.021794394841269771e-02,9.780195932539682835e-02,-3.473772321428571230e-03,-3.201884920634920362e-02
-1.531032986111111049e-02,-1.199869791666666602e-01,1.717199900793650938e-02,-1.256045386904761918e-01,-1.932973710317460389e-02,-3.597005208333333565e-02,-8.527095734126983323e-03,-1.410745287698412787e-01,-2.090928819444444475e-02,-7.998511904761904101e-03
5.662512400793650626e-03,-1.053509424603174538e-01,-7.394128224206349131e-02,-1.084805927579365059e-01,-8.644903273809524322e-03,-1.016446552579365059e-01,2.171688988095238186e-03,-1.040132068452380987e-01,8.703807043650793954e-03,7.998511904761904101e-03
1.963975694444444406e-03,-1.014043898809523780e-01,-7.066437251984127033e-02,-1.050734747023809590e-01,-1.001829117063492147e-02,-1.147367931547619013e-01,4.155815972222222203e-03,-1.242854042658730201e-01,2.090928819444444475e-02,2.161458333333333287e-02
-3.221106150793650626e-03,-1.090882316468253926e-01,1.385013640873015810e-02,-1.093951512896825379e-01,-1.800130208333333356e-02,-1.152498759920634885e-01,5.952380952380952051e-03,-1.120675223214285671e-01,-8.703807043650793954e-03,-2.161458333333333287e-02
2.557663690476190410e-02,1.145631820436507908e-01,1.234188988095238082e-01,1.038349454365079388e-01,-5.099826388888888985e-03,-2.370411706349206254e-02,1.785404265873015775e-02,1.410745287698412787e-01,-4.120163690476190584e-03,2.906281001984126894e-02
4.086526537698412925e-02,1.057384672619047644e-01,1.019748263888888840e-01,9.857700892857142183e-02,1.922123015873015766e-03,8.038969494047619457e-02,1.739366319444444337e-02,1.040132068452380987e-01,6.494915674603174297e-04,-2.906281001984126894e-02
2.640904017857143016e-02,1.205419146825396776e-01,1.146205357142857095e-01,1.107948908730158749e-01,-4.740203373015872655e-03,-2.943483382936508061e-02,2.203156001984126963e-02,1.242854042658730201e-01,4.120163690476190584e-03,3.383246527777777901e-02
2.847067212301587422e-02,1.126953125000000056e-01,1.063817584325396776e-01,1.056594122023809534e-01,-7.442026289682539264e-03,7.889229910714286309e-02,2.021794394841269771e-02,1.120675223214285671e-01,-6.494915674603174297e-04,-3.383246527777777901e-02
1.267981150793650843e-03,9.529854910714286031e-02,9.617590525793651146e-02,8.754185267857142461e-02,-2.832806299603174774e-02,1.124271453373015817e-01,8.498418898809523281e-02,7.249968998015872412e-02,-5.958581349206348854e-03,6.552269345238095379e-03
1.366567460317460320e-02,1.022336929563492092e-01,1.028862847222222210e-01,9.782056051587301182e-02,-9.737723214285714385e-03,1.085751488095238054e-01,4.758804563492063065e-03,1.026041666666666630e-01,6.206597222222221856e-03,-6.552269345238095379e-03
1.043216765873015810e-02,1.030738467261904795e-01,1.081163194444444420e-01,1.039248511904761890e-01,-1.034846230158730125e-02,1.101593501984126922e-01,-8.733258928571428770e-03,8.116009424603175260e-02,5.958581349206348854e-03,1.871744791666666782e-02
1.023220486111111119e-02,1.006913442460317526e-01,1.226159474206349187e-01,1.128286210317460264e-01,-8.993675595238094511e-03,1.148530505952380931e-01,-6.349206349206349201e-03,1.015066964285714218e-01,-6.206597222222221856e-03,-1.871744791666666782e-02
3.411923363095237943e-02,-7.731274801587301182e-02,-1.015950520833333315e-01,-1.028661334325396831e-01,-5.653211805555555421e-03,-7.476593501984127310e-02,-1.163240947420634969e-01,-7.249968998015872412e-02,2.701822916666666609e-03,3.665674603174603335e-02
5.126798115079365253e-02,-7.964564732142857817e-02,-1.061492435515873078e-01,-1.029343377976190410e-01,-3.281560019841269892e-03,-8.282025049603174149e-02,-1.982421875000000069e-02,-1.026041666666666630e-01,5.109126984126984190e-03,-3.665674603174603335e-02
3.292410714285714385e-02,-7.661675347222221544e-02,-9.262927827380952606e-02,-8.746124751984127310e-02,-2.670820932539682592e-03,-7.741040426587302015e-02,-1.288767981150793773e-01,-8.116009424603175260e-02,-2.701822916666666609e-03,3.906405009920634747e-02
4.504898313492063794e-02,-7.918061755952381098e-02,-1.059833829365079416e-01,-8.437500000000000555e-02,2.867683531746031533e-03,-8.445560515873015706e-02,-2.578124999999999861e-02,-1.015066964285714218e-01,-5.109126984126984190e-03,-3.906405009920634747e-02
-7.834046378968254065e-02,1.675657242063492008e-02,4.077225942460317720e-02,9.953187003968253302e-03,-1.155087425595238138e-01,3.597005208333333565e-02,-8.498418898809523281e-02,-1.288085937500000056e-01,-9.967602926587301737e-02,-7.367311507936508130e-02
5.059523809523809763e-03,9.648592509920635163e-02,1.022646949404761862e-01,9.194723462301587769e-02,-1.697513640873015914e-02,1.016446552579365059e-01,-4.758804563492063065e-03,7.802114335317460181e-02,-4.901413690476190410e-03,7.367311507936508130e-02
1.106460813492063551e-02,1.076435391865079305e-01,1.130502852182539708e-01,1.036442832341269854e-01,-1.820591517857142808e-02,1.147367931547619013e-01,8.733258928571428770e-03,-3.898344494047618902e-02,9.967602926587301737e-02,2.110150049603174566e-02
6.380208333333333218e-03,1.034117683531746018e-01,1.246093749999999944e-01,1.122054811507936511e-01,-1.161954365079365115e-02,1.152498759920634885e-01,6.349206349206349201e-03,8.207465277777778456e-02,4.901413690476190410e-03,-2.110150049603174566e-02
1.309136284722222099e-01,2.234002976190476233e-02,-1.038566468253968251e-03,-7.561383928571428596e-03,-1.433531746031745970e-02,2.370411706349206254e-02,1.163240947420634969e-01,1.288085937500000056e-01,-9.850880456349206046e-03,1.331566220238095122e-01
5.149584573412698679e-02,-6.774863591269841834e-02,-9.313771081349206393e-02,-9.309740823412698818e-02,-2.460007440476190410e-03,-8.038969494047619457e-02,1.982421875000000069e-02,-7.802114335317460181e-02,-8.479042658730158964e-04,-1.331566220238095122e-01
1.355205233134920695e-01,3.255208333333333565e-02,4.112413194444444579e-03,6.663876488095237839e-03,-5.693514384920634643e-03,2.943483382936508061e-02,1.288767981150793773e-01,3.898344494047618902e-02,9.850880456349206046e-03,1.421595982142857262e-01
3.634362599206349131e-02,-6.196211557539682557e-02,-9.375775049603174427e-02,-7.688027033730158999e-02,-4.785156250000000347e-03,-7.889229910714286309e-02,2.578124999999999861e-02,-8.207465277777778456e-02,8.479042658730158964e-04,-1.421595982142857262e-01
1.772693452380952328e-02,1.126751612103174538e-01,6.119791666666666609e-03,1.157986111111111160e-01,1.533978174603174531e-02,9.528769841269840724e-02,2.793278769841269892e-03,1.140221974206349215e-01,1.745721726190476233e-02,2.524026537698412578e-02
1.603267609126984156e-02,1.006138392857142821e-01,9.462735615079365115e-02,1.025499131944444392e-01,4.431733630952380820e-03,9.880487351190475609e-02,-1.729910714285714211e-03,1.178261408730158777e-01,1.454458085317460354e-02,-2.524026537698412578e-02
9.035528273809524669e-03,1.062096974206349215e-01,9.300595238095238360e-02,1.002402653769841334e-01,5.823722718253968381e-03,9.777870783730158166e-02,-4.346478174603174774e-03,1.098431299603174621e-01,-1.745721726190476233e-02,2.232762896825396873e-02
7.097904265873015810e-03,1.084449404761904795e-01,1.072560143849206338e-01,9.201853918650793052e-02,1.529947916666666652e-03,1.084681919642857123e-01,-7.240513392857143155e-03,1.417581225198412676e-01,-1.454458085317460354e-02,-2.232762896825396873e-02
2.042100694444444475e-02,-9.499782986111110494e-02,-1.118381076388888923e-01,-9.968377976190476164e-02,3.472222222222222355e-04,-1.114552331349206310e-01,-8.632502480158730715e-03,-1.140221974206349215e-01,1.327814980158730125e-02,2.904420882936507853e-02
4.356398809523809312e-02,-1.055912078373015817e-01,-8.893229166666666297e-02,-1.066344246031745990e-01,-5.484250992063491661e-03,-9.821118551587301737e-02,-7.855902777777777624e-03,-1.178261408730158777e-01,3.847656249999999861e-02,-2.904420882936507853e-02
1.216827876984126998e-02,-8.648468501984127310e-02,-1.014477926587301626e-01,-1.119140624999999944e-01,-4.792906746031746351e-03,-1.016493055555555552e-01,-1.453993055555555594e-02,-1.098431299603174621e-01,-1.327814980158730125e-02,5.424262152777777762e-02
1.093284970238095170e-02,-1.118241567460317477e-02,-3.108258928571428631e-02,-1.481042286706349131e-01,-3.125775049603174427e-02,-9.336247519841269632e-03,-2.303137400793650938e-02,-1.417581225198412676e-01,-3.847656249999999861e-02,-5.424262152777777762e-02
1.608382936507936345e-02,1.094633556547619097e-01,1.216316344246031744e-01,1.233599950396825351e-01,1.708519345238095066e-02,3.999255952380952051e-03,-2.793278769841269892e-03,1.025964161706349187e-01,1.031746031746031723e-02,2.071707589285714385e-02
1.594432043650793537e-02,9.995504712301586658e-02,1.049417162698412648e-01,1.053292410714285754e-01,5.493551587301587734e-03,8.905009920634920917e-02,1.729910714285714211e-03,1.117001488095238082e-01,9.033978174603175468e-03,-2.071707589285714385e-02
8.562748015873016677e-03,1.072126116071428631e-01,1.018570188492063516e-01,1.014446924603174538e-01,6.389508928571428423e-03,8.388206845238095621e-02,4.346478174603174774e-03,9.964967757936507575e-02,-1.031746031746031723e-02,1.943359374999999861e-02
6.316654265873015983e-03,1.116009424603174593e-01,9.704861111111111327e-02,9.564267113095238637e-02,4.248821924603174253e-03,1.028630332341269882e-01,7.240513392857143155e-03,1.259672619047619013e-01,-9.033978174603175468e-03,-1.943359374999999861e-02
2.469773065476190549e-02,-9.129154265873015706e-02,-1.088588169642857179e-01,-1.060810391865079361e-01,2.853732638888888725e-03,-1.420867435515872912e-01,8.632502480158730715e-03,-1.025964161706349187e-01,7.370721726190476025e-03,2.982080853174603335e-02
4.910094246031745935e-02,-1.043387276785714274e-01,-1.021406870039682502e-01,-9.981708829365079638e-02,-3.162202380952380994e-03,-1.068173363095238082e-01,7.855902777777777624e-03,-1.117001488095238082e-01,2.330109126984127033e-02,-2.982080853174603335e-02
1.600632440476190341e-02,-7.870938740079365392e-02,-1.200381324404761890e-01,-1.172123015873015872e-01,-1.677207341269841166e-03,-1.291790674603174593e-01,1.453993055555555594e-02,-9.964967757936507575e-02,-7.370721726190476025e-03,4.575117807539682419e-02
1.016245039682539715e-02,3.399367559523809590e-03,-1.418371775793650924e-01,-1.318328373015872912e-01,-1.873139880952380890e-02,-2.671130952380952259e-02,2.303137400793650938e-02,-1.259672619047619013e-01,-2.330109126984127033e-02,-4.575117807539682419e-02
2.391958085317460320e-02,-8.890438988095238082e-02,-1.024522569444444448e-01,-9.908699156746031411e-02,1.678292410714285823e-02,-9.528769841269840724e-02,-8.849516369047619180e-02,-9.272073412698413064e-02,1.994822668650793676e-02,2.875744047619047464e-02
2.733289930555555386e-02,-1.122891865079365115e-01,-1.007083953373015817e-01,-1.027018229166666713e-01,4.856460813492063586e-03,-9.880487351190475609e-02,-1.148468501984127067e-02,-7.918991815476190965e-02,2.420789930555555455e-02,-2.875744047619047464e-02
1.282707093253968207e-02,-9.697730654761904656e-02,-1.010959201388888923e-01,-1.070141989087301654e-01,7.259114583333333565e-03,-9.777870783730158166e-02,-1.824311755952380890e-02,-8.958488343253968866e-02,-1.994822668650793676e-02,3.301711309523809590e-02
8.497643849206348507e-03,-1.114691840277777790e-01,-1.018864707341269882e-01,-1.199590773809523780e-01,1.863219246031746134e-03,-1.084681919642857123e-01,-1.284567212301587248e-02,2.395368303571428562e-02,-2.420789930555555455e-02,-3.301711309523809590e-02
3.826264880952381237e-02,9.864056299603174427e-02,7.486979166666667129e-02,8.880828373015872690e-02,-8.404637896825396456e-03,1.114552331349206310e-01,-3.926401289682539958e-02,9.272073412698413064e-02,2.308407738095238221e-02,4.228825644841269910e-02
1.431718129960317387e-01,-2.138206845238095274e-02,8.322482638888889506e-02,8.554842509920634885e-02,-1.410435267857142877e-02,9.821118551587301737e-02,-1.646205357142857192e-02,7.918991815476190965e-02,1.273515004960317498e-01,-4.228825644841269910e-02
2.002883184523809521e-02,1.000620039682539736e-01,7.170758928571428770e-02,7.140842013888888673e-02,-1.338200644841269771e-02,1.016493055555555552e-01,-4.206969246031746351e-02,8.958488343253968866e-02,-2.308407738095238221e-02,1.465556795634920528e-01
1.970951140873015983e-02,-2.055431547619047689e-03,-1.792999751984127033e-02,-3.054470486111111188e-02,-1.177873883928571425e-01,9.336247519841269632e-03,-4.040643601190475886e-02,-2.395368303571428562e-02,-1.273515004960317498e-01,-1.465556795634920528e-01
1.025886656746031744e-01,-9.373449900793650452e-03,9.238591269841270326e-02,-1.278831845238095205e-02,1.126736111111111133e-01,-3.999255952380952051e-03,8.849516369047619180e-02,-4.348958333333333148e-02,9.020027281746031966e-02,1.057679191468254010e-01
3.267764136904761918e-02,-1.046254960317460347e-01,-8.246837797619047117e-02,-9.369574652777777624e-02,1.522662450396825365e-02,-8.905009920634920917e-02,1.148468501984127067e-02,-8.416728670634920917e-02,2.284691220238095274e-02,-1.057679191468254010e-01
1.959790426587301737e-02,-8.517175099206349131e-02,-9.225570436507936345e-02,-1.053617931547619069e-01,1.648840525793650660e-02,-8.388206845238095621e-02,1.824311755952380890e-02,-1.134114583333333398e-01,-9.020027281746031966e-02,3.841455853174603058e-02
1.278831845238095248e-03,-1.051773313492063433e-01,-1.104027157738095288e-01,-1.160884796626984183e-01,7.736545138888889159e-03,-1.028630332341269882e-01,1.284567212301587248e-02,-3.607080853174603370e-03,-2.284691220238095274e-02,-3.841455853174603058e-02
6.448412698412699096e-02,1.271809895833333204e-01,7.680741567460317061e-03,3.066096230158730108e-03,9.840029761904761640e-03,1.420867435515872912e-01,3.926401289682539958e-02,4.348958333333333148e-02,2.027839781746031828e-02,6.509021577380952328e-02
1.426370287698412731e-01,-1.208922371031746074e-02,7.077132936507936345e-02,8.300781250000000000e-02,-7.629588293650793433e-03,1.068173363095238082e-01,1.646205357142857192e-02,8.416728670634920917e-02,1.034071180555555525e-01,-6.509021577380952328e-02
3.473462301587301737e-02,1.282784598214285754e-01,-2.866753472222222099e-02,-1.842137896825396873e-02,-6.063988095238095379e-03,1.291790674603174593e-01,4.206969246031746351e-02,1.134114583333333398e-01,-2.027839781746031828e-02,1.482189360119047505e-01
-6.831132192460317998e-02,1.983196924603174496e-02,-1.289186507936508075e-01,-2.357235863095238221e-02,-9.566747271825397358e-02,2.671130952380952259e-02,4.040643601190475886e-02,3.607080853174603370e-03,-1.034071180555555525e-01,-1.482189360119047505e-01
-3.312562003968253909e-03,1.027157738095238054e-01,9.420882936507936345e-02,1.216161334325396859e-01,-1.533978174603174531e-02,9.673084077380952883e-02,4.538690476190476546e-03,9.902963789682539542e-02,7.941158234126983670e-03,1.433221726190476129e-02
8.787512400793650799e-03,9.994109623015873245e-02,1.043976314484127005e-01,1.099841889880952411e-01,-4.431733630952380820e-03,9.922960069444444753e-02,-6.680927579365079482e-04,1.079101562500000000e-01,1.164279513888888916e-02,-1.433221726190476129e-02
7.153707837301587040e-03,1.031249999999999944e-01,1.078047495039682474e-01,1.054485987103174621e-01,-5.823722718253968381e-03,9.921409970238095899e-02,-3.780691964285714298e-03,9.922650049603175260e-02,-7.941158234126983670e-03,1.803385416666666505e-02
5.335441468253968381e-03,9.871496775793650591e-02,1.255409846230158832e-01,1.108258928571428520e-01,-1.529947916666666652e-03,1.088014632936507992e-01,-4.521639384920635336e-03,1.089704241071428603e-01,-1.164279513888888916e-02,-1.803385416666666505e-02
