Head shape,Body shape,Is smiling,Holding,Jacket color,Has tie
-0.1713,-0.1417,-0.0116,0.0108,-0.0917,-0.1269
0.1392,0.2407,0.0007,-0.0513,-0.0053,0.1436
-0.1324,-0.0847,0.0254,-0.0721,-0.1389,-0.1297
0.0294,0.1233,-0.1356,-0.1816,-0.2437,-0.1243
-0.1247,-0.1196,-0.0186,-0.0926,-0.1762,-0.0008
-0.1625,-0.1111,0.0116,0.0050,-0.2467,-0.0287
-0.0422,-0.0557,0.1500,-0.0176,0.4579,-0.0248
0.0402,0.0583,0.0240,0.1898,0.0555,0.0997
-0.1591,-0.0886,-0.0360,-0.0187,-0.1948,-0.0353
-0.1446,-0.1165,0.0388,-0.0794,-0.2327,0.0020
-0.1364,-0.1093,-0.0150,-0.0652,-0.2162,0.0098
-0.0370,-0.0302,-0.0135,0.0458,0.4978,0.0047
-0.0511,-0.0348,0.0135,0.1277,0.4214,-0.0091
0.2443,0.2370,-0.0458,-0.0128,-0.0874,0.1323
-0.1576,-0.1637,-0.0324,-0.0502,-0.0847,-0.0439
-0.1318,-0.0204,-0.0155,-0.0664,-0.1750,-0.1232
0.0043,-0.0231,-0.0120,0.0269,0.4259,0.0456
0.0507,0.0558,0.1479,0.0073,0.2262,-0.0204
-0.1454,-0.2307,-0.0292,0.0216,-0.1563,0.0076
0.0998,0.1195,-0.0459,0.1587,0.0171,0.1184
-0.1155,-0.1043,-0.0595,0.0063,-0.1241,-0.1352
-0.0717,0.1730,0.0080,-0.0430,0.3990,0.0024
-0.0508,0.0583,0.0110,-0.0034,0.4663,-0.0138
0.1389,0.2319,0.0502,0.0353,-0.0255,0.0370
0.2592,0.2569,-0.0451,-0.0133,-0.0930,0.1029
0.0000,0.0146,0.0363,0.0536,0.3569,0.0060
0.1851,0.1831,0.0193,0.0176,-0.0840,0.1464
0.0022,0.0198,-0.0308,0.0042,0.4787,-0.0065
-0.0412,-0.1658,-0.0164,-0.1176,-0.1779,-0.0136
-0.1581,-0.1070,0.0280,-0.1257,-0.1930,0.0234
-0.0288,0.0145,0.0003,-0.0024,0.4781,0.0059
-0.2455,-0.1254,0.0155,-0.0054,-0.1699,-0.0018
-0.1138,-0.1264,-0.1578,-0.1905,0.2036,-0.1476
-0.1119,-0.2119,0.0186,0.0181,-0.2444,-0.0008
-0.1186,-0.1177,-0.1222,0.0001,-0.1812,0.0072
-0.1523,-0.0763,0.0076,-0.0618,-0.2227,-0.0269
-0.0299,-0.0435,0.0025,0.0024,0.4019,0.1343
-0.0603,-0.0460,-0.0338,0.0755,0.3912,0.1410
0.0213,-0.0617,0.1472,0.2069,0.0018,0.1520
0.2581,0.2390,0.0144,0.0920,-0.1004,-0.0356
-0.1417,-0.1840,-0.0155,-0.0194,-0.1555,-0.0164
0.1109,0.1216,0.0791,0.1449,-0.0926,0.1037
-0.2235,-0.1899,0.0280,-0.0520,-0.1334,0.0384
-0.1421,-0.1537,-0.1022,0.0032,-0.1598,0.0221
0.1034,-0.0407,0.0365,-0.0193,0.3388,0.0490
0.0670,0.0206,0.1510,0.0730,-0.0064,0.1625
0.2700,0.2918,-0.0075,0.0090,-0.0987,0.0029
0.2654,0.1719,0.0154,0.1308,-0.0971,-0.0187
-0.1374,-0.0297,0.0275,0.0206,-0.2644,-0.1489
-0.1324,-0.1587,0.0408,0.0228,-0.1599,-0.1451
-0.2115,-0.1766,0.0195,-0.0703,-0.1176,0.0241
-0.0430,-0.0331,-0.0352,0.1008,0.4829,-0.0049
-0.0467,-0.1498,-0.1544,0.0353,-0.1875,-0.0292
0.0550,0.0530,0.0252,0.1107,0.2345,-0.0109
-0.0114,-0.1604,-0.0230,-0.0632,-0.2848,0.0103
0.0627,0.0726,-0.0208,0.1270,0.2366,-0.0104
-0.1486,-0.1343,0.0106,-0.0203,-0.2093,-0.0306
0.0287,0.0203,0.1415,0.1573,0.0165,0.1033
-0.0402,-0.0415,-0.0429,-0.0121,0.4568,0.1476
0.0809,0.0785,-0.1497,-0.0842,-0.3071,-0.1508
0.2678,0.1886,-0.0329,0.0001,0.0460,-0.0019
-0.1935,-0.1478,-0.1288,-0.1866,0.2656,-0.1413
-0.1603,-0.1678,0.0022,-0.0209,-0.1756,-0.0099
0.2818,0.2081,-0.0204,0.0694,-0.0640,-0.0073
-0.1350,-0.1273,-0.0326,0.0121,-0.2552,0.0056
-0.1202,-0.1167,-0.0543,0.0200,-0.1427,-0.1184
0.0199,0.0382,0.1058,0.1675,0.0130,0.1232
0.2897,0.2373,-0.0024,0.0682,-0.1160,-0.0091
-0.0128,-0.0564,0.0370,0.1116,0.4088,-0.0206
-0.1332,-0.1365,-0.1233,-0.2204,0.0883,-0.0073
0.0393,0.0598,0.0104,0.1132,0.2340,0.0109
0.2576,0.2507,0.0451,-0.0092,-0.0804,0.0039
-0.1635,-0.1003,0.0044,-0.0256,-0.2416,-0.0057
0.0336,0.0206,0.1467,0.0798,0.0418,0.1451
0.3073,0.2166,0.0228,0.0211,-0.0920,-0.0082
0.1854,0.1925,-0.0160,0.0427,-0.0878,0.1508
0.0316,0.0292,-0.0012,0.1118,0.2854,0.0106
0.3006,0.2674,0.0336,-0.0321,-0.0976,-0.0043
-0.2386,-0.1304,0.0440,-0.0351,-0.1782,0.0058
0.0453,0.1512,0.0208,0.0204,0.2356,-0.0058
-0.0480,0.0062,0.0367,-0.0020,0.4728,0.0020
-0.1446,-0.1528,-0.0297,-0.0087,-0.0709,-0.1257
-0.0503,-0.1172,0.0097,-0.0457,-0.1790,-0.1498
-0.0268,-0.0225,-0.0321,0.0381,0.4964,0.0145
0.2317,0.2749,-0.0228,0.0936,-0.1033,-0.0066
-0.1390,-0.1430,-0.0382,-0.0250,-0.1774,-0.0098
-0.1629,-0.1540,0.0140,-0.0255,-0.1952,-0.0089
0.2256,0.0278,-0.0566,0.0512,0.2677,-0.0480
-0.1994,-0.1307,0.0324,-0.1008,-0.1264,-0.0074
-0.0637,0.0257,0.1534,0.1707,0.0451,0.1365
0.1468,0.0875,-0.0361,0.0055,0.2370,0.0269
0.0749,0.0828,0.0206,-0.0184,0.3208,-0.0132
-0.1412,-0.1476,-0.0093,-0.0167,-0.2274,0.0099
0.1293,0.0426,0.1263,-0.0505,0.2096,0.0103
-0.0042,0.0469,-0.0264,0.1279,0.3313,-0.0079
-0.0651,-0.0128,0.1457,-0.0023,0.4041,-0.0020
-0.0553,0.0982,-0.0003,-0.0516,0.4791,-0.0024
-0.0083,-0.0060,0.0027,-0.0150,0.4779,0.0163
0.2740,0.2563,0.0299,0.0181,-0.1081,-0.0027
-0.2145,-0.1690,0.0400,0.0208,-0.2163,0.0066
0.1672,0.0467,0.0275,-0.0298,0.2407,0.0153
0.1461,0.1411,-0.0252,0.0071,0.2243,-0.0257
-0.1541,-0.2628,0.0228,-0.0098,-0.1517,0.0231
0.0401,0.0354,0.1489,0.0422,0.0760,0.1250
-0.1373,-0.1203,-0.1452,0.0195,-0.1343,-0.0149
