Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9
-2.727399553571428423e-02,-2.727399553571428423e-02,-2.597656250000000139e-02,2.562499999999999778e-01,2.575474330357143127e-01,2.575474330357143127e-01,5.000000000000000278e-02,-1.241489955357142905e-01,5.129743303571428908e-02
-2.727399553571428423e-02,-2.727399553571428423e-02,-2.597656250000000139e-02,2.562499999999999778e-01,2.575474330357143127e-01,2.575474330357143127e-01,5.000000000000000278e-02,5.129743303571428908e-02,-1.241489955357142905e-01
-2.488374255952380959e-02,-2.488374255952380959e-02,-2.260974702380952328e-02,1.218749999999999972e-01,1.241489955357142905e-01,1.241489955357142905e-01,1.218749999999999972e-01,1.241489955357142905e-01,1.241489955357142905e-01
-7.666945684523809867e-02,-7.666945684523809867e-02,3.631882440476190410e-02,-3.541666666666666574e-02,-3.604445684523809729e-02,-3.604445684523809729e-02,-3.541666666666666574e-02,-3.604445684523809729e-02,-3.604445684523809729e-02
-7.481863839285714246e-02,-7.481863839285714246e-02,3.518415178571428908e-02,-3.437500000000000278e-02,-3.523530505952381098e-02,-3.523530505952381098e-02,-7.395833333333333426e-02,-7.481863839285714246e-02,3.604445684523809729e-02
-7.481863839285714246e-02,-7.481863839285714246e-02,3.518415178571428908e-02,-3.437500000000000278e-02,-3.523530505952381098e-02,-3.523530505952381098e-02,-7.395833333333333426e-02,3.604445684523809729e-02,-7.481863839285714246e-02
-7.004743303571428492e-02,-7.004743303571428492e-02,3.289620535714285476e-02,-3.229166666666666990e-02,-3.358909970238094927e-02,-3.358909970238094927e-02,-2.750000000000000222e-01,7.481863839285714246e-02,7.481863839285714246e-02
-7.458612351190475886e-02,-7.458612351190475886e-02,3.541666666666666574e-02,-3.451450892857142738e-02,-3.500279017857142738e-02,-3.500279017857142738e-02,3.541666666666666574e-02,-7.458612351190475886e-02,-7.458612351190475886e-02
-6.961030505952381375e-02,-6.961030505952381375e-02,3.333333333333333287e-02,-3.252418154761904656e-02,-3.315197172619047811e-02,-3.315197172619047811e-02,7.395833333333333426e-02,-2.758603050595238027e-01,7.458612351190475886e-02
-6.961030505952381375e-02,-6.961030505952381375e-02,3.333333333333333287e-02,-3.252418154761904656e-02,-3.315197172619047811e-02,-3.315197172619047811e-02,7.395833333333333426e-02,7.458612351190475886e-02,-2.758603050595238027e-01
-5.129743303571428908e-02,-5.129743303571428908e-02,2.812500000000000069e-02,-2.752046130952380890e-02,-2.838076636904762057e-02,-2.838076636904762057e-02,2.750000000000000222e-01,2.758603050595238027e-01,2.758603050595238027e-01
-7.481863839285714246e-02,-7.481863839285714246e-02,3.518415178571428908e-02,-7.395833333333333426e-02,-7.481863839285714246e-02,3.604445684523809729e-02,-3.437500000000000278e-02,-3.523530505952381098e-02,-3.523530505952381098e-02
-7.317243303571428770e-02,-7.317243303571428770e-02,3.393787202380952467e-02,-7.187499999999999445e-02,-7.317243303571428770e-02,3.523530505952381098e-02,-7.187499999999999445e-02,-7.317243303571428770e-02,3.523530505952381098e-02
-7.317243303571428770e-02,-7.317243303571428770e-02,3.393787202380952467e-02,-7.187499999999999445e-02,-7.317243303571428770e-02,3.523530505952381098e-02,-7.187499999999999445e-02,3.523530505952381098e-02,-7.317243303571428770e-02
-6.894066220238095899e-02,-6.894066220238095899e-02,3.131510416666666990e-02,-6.666666666666666574e-02,-6.894066220238095899e-02,3.358909970238094927e-02,-2.697916666666666519e-01,7.317243303571428770e-02,7.317243303571428770e-02
-7.273530505952380265e-02,-7.273530505952380265e-02,3.437500000000000278e-02,-7.210751488095237804e-02,-7.273530505952380265e-02,3.500279017857142738e-02,3.437500000000000278e-02,-7.273530505952380265e-02,-7.273530505952380265e-02
-6.796409970238095899e-02,-6.796409970238095899e-02,3.229166666666666990e-02,-6.710379464285713691e-02,-6.796409970238095899e-02,3.315197172619047811e-02,7.187499999999999445e-02,-2.710890997023809312e-01,7.273530505952380265e-02
-6.796409970238095899e-02,-6.796409970238095899e-02,3.229166666666666990e-02,-6.710379464285713691e-02,-6.796409970238095899e-02,3.315197172619047811e-02,7.187499999999999445e-02,7.273530505952380265e-02,-2.710890997023809312e-01
-5.019066220238094927e-02,-5.019066220238094927e-02,2.708333333333333426e-02,-4.889322916666666990e-02,-5.019066220238094927e-02,2.838076636904762057e-02,2.697916666666666519e-01,2.710890997023809312e-01,2.710890997023809312e-01
-7.481863839285714246e-02,-7.481863839285714246e-02,3.518415178571428908e-02,-7.395833333333333426e-02,3.604445684523809729e-02,-7.481863839285714246e-02,-3.437500000000000278e-02,-3.523530505952381098e-02,-3.523530505952381098e-02
-7.317243303571428770e-02,-7.317243303571428770e-02,3.393787202380952467e-02,-7.187499999999999445e-02,3.523530505952381098e-02,-7.317243303571428770e-02,-7.187499999999999445e-02,-7.317243303571428770e-02,3.523530505952381098e-02
-7.317243303571428770e-02,-7.317243303571428770e-02,3.393787202380952467e-02,-7.187499999999999445e-02,3.523530505952381098e-02,-7.317243303571428770e-02,-7.187499999999999445e-02,3.523530505952381098e-02,-7.317243303571428770e-02
-6.894066220238095899e-02,-6.894066220238095899e-02,3.131510416666666990e-02,-6.666666666666666574e-02,3.358909970238094927e-02,-6.894066220238095899e-02,-2.697916666666666519e-01,7.317243303571428770e-02,7.317243303571428770e-02
-7.273530505952380265e-02,-7.273530505952380265e-02,3.437500000000000278e-02,-7.210751488095237804e-02,3.500279017857142738e-02,-7.273530505952380265e-02,3.437500000000000278e-02,-7.273530505952380265e-02,-7.273530505952380265e-02
-6.796409970238095899e-02,-6.796409970238095899e-02,3.229166666666666990e-02,-6.710379464285713691e-02,3.315197172619047811e-02,-6.796409970238095899e-02,7.187499999999999445e-02,-2.710890997023809312e-01,7.273530505952380265e-02
-6.796409970238095899e-02,-6.796409970238095899e-02,3.229166666666666990e-02,-6.710379464285713691e-02,3.315197172619047811e-02,-6.796409970238095899e-02,7.187499999999999445e-02,7.273530505952380265e-02,-2.710890997023809312e-01
-5.019066220238094927e-02,-5.019066220238094927e-02,2.708333333333333426e-02,-4.889322916666666990e-02,2.838076636904762057e-02,-5.019066220238094927e-02,2.697916666666666519e-01,2.710890997023809312e-01,2.710890997023809312e-01
-7.004743303571428492e-02,-7.004743303571428492e-02,3.289620535714285476e-02,-2.750000000000000222e-01,7.481863839285714246e-02,7.481863839285714246e-02,-3.229166666666666990e-02,-3.358909970238094927e-02,-3.358909970238094927e-02
-6.894066220238095899e-02,-6.894066220238095899e-02,3.131510416666666990e-02,-2.697916666666666519e-01,7.317243303571428770e-02,7.317243303571428770e-02,-6.666666666666666574e-02,-6.894066220238095899e-02,3.358909970238094927e-02
-6.894066220238095899e-02,-6.894066220238095899e-02,3.131510416666666990e-02,-2.697916666666666519e-01,7.317243303571428770e-02,7.317243303571428770e-02,-6.666666666666666574e-02,3.358909970238094927e-02,-6.894066220238095899e-02
-6.655040922619047394e-02,-6.655040922619047394e-02,2.739025297619047603e-02,-2.510416666666666630e-01,6.894066220238095899e-02,6.894066220238095899e-02,-2.510416666666666630e-01,6.894066220238095899e-02,6.894066220238095899e-02
-6.796409970238095899e-02,-6.796409970238095899e-02,3.229166666666666990e-02,-2.702287946428571508e-01,7.273530505952380265e-02,7.273530505952380265e-02,3.229166666666666990e-02,-6.796409970238095899e-02,-6.796409970238095899e-02
-6.373232886904761640e-02,-6.373232886904761640e-02,3.020833333333333356e-02,-2.520182291666666630e-01,6.796409970238095899e-02,6.796409970238095899e-02,6.666666666666666574e-02,-2.533156622023809423e-01,6.796409970238095899e-02
-6.373232886904761640e-02,-6.373232886904761640e-02,3.020833333333333356e-02,-2.520182291666666630e-01,6.796409970238095899e-02,6.796409970238095899e-02,6.666666666666666574e-02,6.796409970238095899e-02,-2.533156622023809423e-01
-4.780040922619047811e-02,-4.780040922619047811e-02,2.500000000000000139e-02,-1.194847470238095261e-01,5.019066220238094927e-02,5.019066220238094927e-02,2.510416666666666630e-01,2.533156622023809423e-01,2.533156622023809423e-01
-7.458612351190475886e-02,-7.458612351190475886e-02,3.541666666666666574e-02,3.541666666666666574e-02,-7.458612351190475886e-02,-7.458612351190475886e-02,-3.451450892857142738e-02,-3.500279017857142738e-02,-3.500279017857142738e-02
-7.273530505952380265e-02,-7.273530505952380265e-02,3.437500000000000278e-02,3.437500000000000278e-02,-7.273530505952380265e-02,-7.273530505952380265e-02,-7.210751488095237804e-02,-7.273530505952380265e-02,3.500279017857142738e-02
-7.273530505952380265e-02,-7.273530505952380265e-02,3.437500000000000278e-02,3.437500000000000278e-02,-7.273530505952380265e-02,-7.273530505952380265e-02,-7.210751488095237804e-02,3.500279017857142738e-02,-7.273530505952380265e-02
-6.796409970238095899e-02,-6.796409970238095899e-02,3.229166666666666990e-02,3.229166666666666990e-02,-6.796409970238095899e-02,-6.796409970238095899e-02,-2.702287946428571508e-01,7.273530505952380265e-02,7.273530505952380265e-02
-7.259579613095237804e-02,-7.259579613095237804e-02,3.451450892857142738e-02,3.451450892857142738e-02,-7.259579613095237804e-02,-7.259579613095237804e-02,3.451450892857142738e-02,-7.259579613095237804e-02,-7.259579613095237804e-02
-6.773158482142857539e-02,-6.773158482142857539e-02,3.252418154761904656e-02,3.252418154761904656e-02,-6.773158482142857539e-02,-6.773158482142857539e-02,7.210751488095237804e-02,-2.708565848214285476e-01,7.259579613095237804e-02
-6.773158482142857539e-02,-6.773158482142857539e-02,3.252418154761904656e-02,3.252418154761904656e-02,-6.773158482142857539e-02,-6.773158482142857539e-02,7.210751488095237804e-02,7.259579613095237804e-02,-2.708565848214285476e-01
-4.975353422619047811e-02,-4.975353422619047811e-02,2.752046130952380890e-02,2.752046130952380890e-02,-4.975353422619047811e-02,-4.975353422619047811e-02,2.702287946428571508e-01,2.708565848214285476e-01,2.708565848214285476e-01
-6.961030505952381375e-02,-6.961030505952381375e-02,3.333333333333333287e-02,7.395833333333333426e-02,-2.758603050595238027e-01,7.458612351190475886e-02,-3.252418154761904656e-02,-3.315197172619047811e-02,-3.315197172619047811e-02
-6.796409970238095899e-02,-6.796409970238095899e-02,3.229166666666666990e-02,7.187499999999999445e-02,-2.710890997023809312e-01,7.273530505952380265e-02,-6.710379464285713691e-02,-6.796409970238095899e-02,3.315197172619047811e-02
-6.796409970238095899e-02,-6.796409970238095899e-02,3.229166666666666990e-02,7.187499999999999445e-02,-2.710890997023809312e-01,7.273530505952380265e-02,-6.710379464285713691e-02,3.315197172619047811e-02,-6.796409970238095899e-02
-6.373232886904761640e-02,-6.373232886904761640e-02,3.020833333333333356e-02,6.666666666666666574e-02,-2.533156622023809423e-01,6.796409970238095899e-02,-2.520182291666666630e-01,6.796409970238095899e-02,6.796409970238095899e-02
-6.773158482142857539e-02,-6.773158482142857539e-02,3.252418154761904656e-02,7.210751488095237804e-02,-2.708565848214285476e-01,7.259579613095237804e-02,3.252418154761904656e-02,-6.773158482142857539e-02,-6.773158482142857539e-02
-6.329520089285714524e-02,-6.329520089285714524e-02,3.064546130952380820e-02,6.710379464285713691e-02,-2.528785342261904989e-01,6.773158482142857539e-02,6.710379464285713691e-02,-2.528785342261904989e-01,6.773158482142857539e-02
-6.329520089285714524e-02,-6.329520089285714524e-02,3.064546130952380820e-02,6.710379464285713691e-02,-2.528785342261904989e-01,6.773158482142857539e-02,6.710379464285713691e-02,6.773158482142857539e-02,-2.528785342261904989e-01
-4.682384672619047811e-02,-4.682384672619047811e-02,2.597656250000000139e-02,4.889322916666666990e-02,-1.207821800595238054e-01,4.975353422619047811e-02,2.520182291666666630e-01,2.528785342261904989e-01,2.528785342261904989e-01
-6.961030505952381375e-02,-6.961030505952381375e-02,3.333333333333333287e-02,7.395833333333333426e-02,7.458612351190475886e-02,-2.758603050595238027e-01,-3.252418154761904656e-02,-3.315197172619047811e-02,-3.315197172619047811e-02
-6.796409970238095899e-02,-6.796409970238095899e-02,3.229166666666666990e-02,7.187499999999999445e-02,7.273530505952380265e-02,-2.710890997023809312e-01,-6.710379464285713691e-02,-6.796409970238095899e-02,3.315197172619047811e-02
