Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
0.000000000000000000e+00,0.000000000000000000e+00,-1.511160714285714191e-01,-1.511160714285714191e-01,9.575892857142857817e-02,-1.401785714285714302e-01,-1.511160714285714191e-01,-1.401785714285714302e-01,-1.511160714285714191e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.337797619047619069e-01,-2.098214285714285754e-01,1.214285714285714274e-01,-2.040922619047619013e-01,-2.098214285714285754e-01,-2.040922619047619013e-01,1.511160714285714191e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.337797619047619069e-01,-2.098214285714285754e-01,1.214285714285714274e-01,-2.040922619047619013e-01,-2.098214285714285754e-01,-2.040922619047619013e-01,1.511160714285714191e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.150297619047619180e-01,-2.150297619047619180e-01,1.401785714285714302e-01,-2.093005952380952439e-01,-2.150297619047619180e-01,1.401785714285714302e-01,-2.150297619047619180e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.150297619047619180e-01,-2.150297619047619180e-01,1.401785714285714302e-01,-2.093005952380952439e-01,-2.150297619047619180e-01,1.401785714285714302e-01,-2.150297619047619180e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.094494047619047616e-01,-1.021577380952380931e-01,2.040922619047619013e-01,-9.851190476190475886e-02,-1.021577380952380931e-01,2.040922619047619013e-01,2.150297619047619180e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.094494047619047616e-01,-1.021577380952380931e-01,2.040922619047619013e-01,-9.851190476190475886e-02,-1.021577380952380931e-01,2.040922619047619013e-01,2.150297619047619180e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.098214285714285754e-01,-2.337797619047619069e-01,1.214285714285714274e-01,-2.040922619047619013e-01,1.511160714285714191e-01,-2.040922619047619013e-01,-2.098214285714285754e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.098214285714285754e-01,-2.337797619047619069e-01,1.214285714285714274e-01,-2.040922619047619013e-01,1.511160714285714191e-01,-2.040922619047619013e-01,-2.098214285714285754e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.073660714285714218e-01,-1.073660714285714218e-01,1.988839285714285587e-01,-9.642857142857143293e-02,2.098214285714285754e-01,-9.642857142857143293e-02,2.098214285714285754e-01,0.000000000000000000e+00
