F1,F2,F3,F4,F5,F6,F7,F8,F9
-2.239583333333333356e-02,-3.627697172619047394e-02,-9.141090029761904379e-02,-1.132859002976190493e-01,6.189546130952380820e-02,-1.132859002976190493e-01,-9.141090029761904379e-02,-3.627697172619047394e-02,-2.239583333333333356e-02
-2.195870535714285546e-02,-3.560732886904761918e-02,-8.932756696428571785e-02,-1.118722098214285782e-01,6.145833333333333010e-02,-1.039109002976190410e-01,-1.205775669642857179e-01,-6.544363839285714801e-02,2.239583333333333356e-02
-2.172619047619047533e-02,-3.500279017857142738e-02,-8.872302827380952606e-02,-1.116396949404761946e-01,5.164620535714285754e-02,-1.137230282738095205e-01,-1.303896949404761973e-01,3.627697172619047394e-02,-5.156249999999999722e-02
-2.074962797619047533e-02,-3.358909970238094927e-02,-8.351469494047619735e-02,-1.078450520833333370e-01,5.066964285714285754e-02,-8.455636160714286031e-02,-3.022646949404761973e-01,6.544363839285714801e-02,5.156249999999999722e-02
-2.031250000000000069e-02,-3.358909970238094927e-02,-8.730933779761904101e-02,-8.105933779761904934e-02,8.222656250000000278e-02,-2.893926711309524058e-01,9.141090029761904379e-02,-7.525576636904761363e-02,-5.156249999999999722e-02
-1.933593750000000069e-02,-3.217540922619047811e-02,-8.210100446428571230e-02,-7.726469494047619180e-02,8.125000000000000278e-02,-2.602260044642857317e-01,1.205775669642857179e-01,-2.471307663690476275e-01,5.156249999999999722e-02
-1.889880952380952259e-02,-3.106863839285714177e-02,-8.099423363095238637e-02,-7.682756696428572063e-02,5.110677083333333565e-02,-2.903692336309524058e-01,1.303896949404761973e-01,7.525576636904761363e-02,-2.234375000000000111e-01
-1.608072916666666505e-02,-2.727399553571428423e-02,-6.224423363095238360e-02,-6.187220982142856845e-02,4.828869047619047811e-02,-1.184942336309523780e-01,3.022646949404761973e-01,2.471307663690476275e-01,2.234375000000000111e-01
-2.098214285714285546e-02,-3.463076636904761918e-02,-5.918433779761905073e-02,-2.602260044642857317e-01,1.141462053571428575e-01,1.132859002976190493e-01,-2.675176711309523725e-01,-3.671409970238095205e-02,-1.302083333333333391e-02
-2.074962797619047533e-02,-3.425874255952381098e-02,-5.814267113095238082e-02,-2.595563616071428492e-01,1.139136904761904739e-01,1.039109002976190410e-01,-2.768926711309523947e-01,-4.608909970238095344e-02,1.302083333333333391e-02
-2.031250000000000069e-02,-3.315197172619047811e-02,-5.703590029761904795e-02,-2.591192336309524058e-01,8.377046130952381375e-02,1.137230282738095205e-01,-3.070359002976190688e-01,3.671409970238095205e-02,-2.239583333333333356e-02
-1.987537202380952259e-02,-3.248232886904761640e-02,-5.495256696428571508e-02,-2.577055431547619069e-01,8.333333333333332871e-02,8.455636160714286031e-02,-3.362025669642856873e-01,4.608909970238095344e-02,2.239583333333333356e-02
-1.651785714285714315e-02,-2.935732886904762057e-02,-5.324125744047619041e-02,-8.344959077380952051e-02,2.594401041666666852e-01,2.893926711309524058e-01,2.675176711309523725e-01,-7.623232886904761363e-02,-2.239583333333333356e-02
-1.608072916666666505e-02,-2.868768601190476233e-02,-5.115792410714285754e-02,-8.203590029761904934e-02,2.590029761904761862e-01,2.602260044642857317e-01,2.768926711309523947e-01,-1.053989955357142877e-01,2.239583333333333356e-02
-1.510416666666666678e-02,-2.629743303571428423e-02,-4.876767113095237943e-02,-8.105933779761904934e-02,8.430989583333332871e-02,2.903692336309524058e-01,3.070359002976190688e-01,7.623232886904761363e-02,-5.156249999999999722e-02
-1.412760416666666678e-02,-2.488374255952380959e-02,-4.355933779761905073e-02,-7.726469494047619180e-02,8.333333333333332871e-02,1.184942336309523780e-01,3.362025669642856873e-01,1.053989955357142877e-01,5.156249999999999722e-02
-1.325334821428571404e-02,-6.708984375000000278e-02,-1.222237723214285726e-01,6.103515625000000000e-02,-1.141462053571428575e-01,-8.226841517857143293e-02,-5.972377232142857262e-02,-4.521484374999999722e-02,-2.195870535714285546e-02
-1.302083333333333391e-02,-6.588076636904761918e-02,-1.196010044642857179e-01,6.016090029761905073e-02,-1.131696428571428575e-01,-7.309802827380952606e-02,-8.835100446428571785e-02,-7.384207589285714246e-02,2.195870535714285546e-02
-1.278831845238095205e-02,-6.423456101190476442e-02,-1.179547991071428631e-01,5.972377232142857262e-02,-1.035621279761904795e-01,-1.027018229166666713e-01,-1.179547991071428631e-01,4.521484374999999722e-02,-5.058593749999999722e-02
-1.235119047619047568e-02,-6.097935267857142877e-02,-1.109049479166666630e-01,5.777064732142857262e-02,-1.007440476190476220e-01,-7.407459077380952606e-02,-2.879882812499999778e-01,7.384207589285714246e-02,5.058593749999999722e-02
-1.241629464285714211e-02,-6.386253720238095621e-02,-1.175827752976190410e-01,4.967912946428571647e-02,-1.136067708333333287e-01,-1.127464657738095205e-01,5.972377232142857262e-02,-1.034458705357142877e-01,-5.058593749999999722e-02
-1.197916666666666748e-02,-6.060732886904762057e-02,-1.105329241071428548e-01,4.772600446428571647e-02,-1.107886904761904712e-01,-8.411923363095237527e-02,8.835100446428571785e-02,-2.734793526785714302e-01,5.058593749999999722e-02
-1.154203869047619110e-02,-5.637555803571428492e-02,-1.063011532738095261e-01,4.674944196428571647e-02,-8.118489583333333981e-02,-2.569707961309523614e-01,1.179547991071428631e-01,1.034458705357142877e-01,-2.206194196428571397e-01
-1.056547619047619110e-02,-4.326171874999999722e-02,-7.823195684523809312e-02,4.111328125000000139e-02,-6.904761904761905211e-02,-8.693731398809523281e-02,2.879882812499999778e-01,2.734793526785714302e-01,2.206194196428571397e-01
-1.278831845238095205e-02,-6.564825148809523558e-02,-9.020182291666666019e-02,8.226841517857143293e-02,-2.921037946428571286e-01,8.226841517857143293e-02,-9.020182291666666019e-02,-6.564825148809523558e-02,-1.278831845238095205e-02
-1.264880952380952397e-02,-6.507161458333333981e-02,-8.895554315476190965e-02,8.180338541666666574e-02,-2.916666666666666852e-01,7.309802827380952606e-02,-9.937220982142856707e-02,-7.481863839285714246e-02,1.278831845238095205e-02
-1.221168154761904760e-02,-6.083984374999999722e-02,-8.472377232142856707e-02,8.082682291666666574e-02,-2.620628720238095122e-01,1.027018229166666713e-01,-2.722237723214285809e-01,6.564825148809523558e-02,-2.195870535714285546e-02
-1.197916666666666748e-02,-5.963076636904762057e-02,-8.210100446428571230e-02,7.995256696428570953e-02,-2.610863095238095122e-01,7.407459077380952606e-02,-3.008510044642856984e-01,7.481863839285714246e-02,2.195870535714285546e-02
-1.154203869047619110e-02,-6.017020089285714246e-02,-8.405412946428571230e-02,5.024646577380952051e-02,-2.926432291666666852e-01,1.127464657738095205e-01,9.020182291666666019e-02,-2.476702008928571563e-01,-2.195870535714285546e-02
-1.130952380952380924e-02,-5.896112351190475886e-02,-8.143136160714285754e-02,4.937220982142857123e-02,-2.916666666666666852e-01,8.411923363095237527e-02,9.937220982142856707e-02,-2.762974330357143016e-01,2.195870535714285546e-02
-1.033296130952380924e-02,-4.302920386904762057e-02,-6.549944196428571230e-02,4.655412946428571369e-02,-1.188151041666666713e-01,2.569707961309523614e-01,2.722237723214285809e-01,2.476702008928571563e-01,-5.058593749999999722e-02
-9.895833333333332871e-03,-3.977399553571428492e-02,-5.844959077380952606e-02,4.460100446428571369e-02,-1.159970238095238138e-01,8.693731398809523281e-02,3.008510044642856984e-01,2.762974330357143016e-01,5.058593749999999722e-02
-1.302083333333333391e-02,-3.671409970238095205e-02,-2.675176711309523725e-01,1.132859002976190493e-01,1.141462053571428575e-01,-2.602260044642857317e-01,-5.918433779761905073e-02,-3.463076636904761918e-02,-2.098214285714285546e-02
-1.278831845238095205e-02,-3.604445684523809729e-02,-2.630533854166666741e-01,1.118722098214285782e-01,1.131696428571428575e-01,-2.515950520833333259e-01,-8.597005208333333148e-02,-6.141648065476190688e-02,2.098214285714285546e-02
-1.264880952380952397e-02,-3.523530505952381098e-02,-2.622442336309523947e-01,1.116396949404761946e-01,1.035621279761904795e-01,-2.612025669642857317e-01,-9.557756696428570953e-02,3.463076636904761918e-02,-4.776785714285713969e-02
-1.221168154761904760e-02,-3.382161458333333287e-02,-2.458751860119047505e-01,1.078450520833333370e-01,1.007440476190476220e-01,-2.344168526785714302e-01,-2.562918526785714080e-01,6.141648065476190688e-02,4.776785714285713969e-02
-1.197916666666666748e-02,-3.456566220238094927e-02,-2.615745907738095122e-01,8.105933779761904934e-02,1.136067708333333287e-01,-2.917829241071428492e-01,5.918433779761905073e-02,-7.102399553571428492e-02,-4.776785714285713969e-02
-1.154203869047619110e-02,-3.315197172619047811e-02,-2.452055431547618958e-01,7.726469494047619180e-02,1.107886904761904712e-01,-2.649972098214285476e-01,8.597005208333333148e-02,-2.317382812500000111e-01,4.776785714285713969e-02
-1.130952380952380924e-02,-3.150576636904761640e-02,-2.435593377976190410e-01,7.682756696428572063e-02,8.118489583333333981e-02,-2.946010044642857206e-01,9.557756696428570953e-02,7.102399553571428492e-02,-2.084821428571428659e-01
-1.033296130952380924e-02,-2.771112351190476233e-02,-1.203450520833333343e-01,6.187220982142856845e-02,6.904761904761905211e-02,-1.338867187499999944e-01,2.562918526785714080e-01,2.317382812500000111e-01,2.084821428571428659e-01
-1.235119047619047568e-02,-3.560732886904761918e-02,-9.074125744047618902e-02,2.602260044642857317e-01,2.921037946428571286e-01,2.602260044642857317e-01,-9.074125744047618902e-02,-3.560732886904761918e-02,-1.235119047619047568e-02
-1.221168154761904760e-02,-3.523530505952381098e-02,-8.895554315476190965e-02,2.595563616071428492e-01,2.916666666666666852e-01,2.515950520833333259e-01,-9.937220982142856707e-02,-4.423828124999999722e-02,1.235119047619047568e-02
-1.197916666666666748e-02,-3.358909970238094927e-02,-8.730933779761904101e-02,2.591192336309524058e-01,2.620628720238095122e-01,2.612025669642857317e-01,-1.289760044642857262e-01,3.560732886904761918e-02,-2.098214285714285546e-02
-1.174665178571428562e-02,-3.291945684523809451e-02,-8.284505208333332871e-02,2.577055431547619069e-01,2.610863095238095122e-01,2.344168526785714302e-01,-1.557617187500000000e-01,4.423828124999999722e-02,2.098214285714285546e-02
-1.056547619047619110e-02,-3.217540922619047811e-02,-8.589564732142856984e-02,8.344959077380952051e-02,2.926432291666666852e-01,2.917829241071428492e-01,9.074125744047618902e-02,-7.384207589285714246e-02,-2.098214285714285546e-02
-1.033296130952380924e-02,-3.150576636904761640e-02,-8.143136160714285754e-02,8.203590029761904934e-02,2.916666666666666852e-01,2.649972098214285476e-01,9.937220982142856707e-02,-1.006277901785714302e-01,2.098214285714285546e-02
-9.895833333333332871e-03,-2.727399553571428423e-02,-7.719959077380952883e-02,8.105933779761904934e-02,1.188151041666666713e-01,2.946010044642857206e-01,1.289760044642857262e-01,7.384207589285714246e-02,-4.776785714285713969e-02
-9.458705357142856499e-03,-2.586030505952380959e-02,-6.083054315476190549e-02,7.726469494047619180e-02,1.159970238095238138e-01,1.338867187499999944e-01,1.557617187500000000e-01,1.006277901785714302e-01,4.776785714285713969e-02
-5.253906249999999722e-02,-1.063755580357142877e-01,7.107979910714286309e-02,-1.121791294642857095e-01,-8.222656250000000278e-02,-4.967912946428571647e-02,-6.775948660714285754e-02,-4.387555803571428770e-02,-2.128906250000000069e-02
-5.156249999999999722e-02,-1.044224330357142877e-01,6.953590029761905211e-02,-1.102260044642857095e-01,-8.125000000000000278e-02,-4.080636160714285615e-02,-9.564267113095238637e-02,-7.175874255952380265e-02,2.128906250000000069e-02
-5.058593749999999722e-02,-1.020321800595238027e-01,6.842912946428571230e-02,-1.092494419642857095e-01,-7.194010416666667129e-02,-6.966610863095237804e-02,-1.245024181547619013e-01,4.387555803571428770e-02,-4.917224702380952606e-02
