Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
1.227738095238082999e-01,2.642857142856514137e-03,-2.000000000000040808e-03,-2.095238095238098792e-03,-6.547619047619019153e-04,6.547619047619139716e-03,1.426071428571425992e-01,1.897619047619049371e-02,-4.428571428571424079e-03,1.556309523809519535e-01
-8.555952380952325242e-02,-8.084523809523810889e-02,-1.040119047619045972e-01,1.470238095238099105e-02,-2.202380952380947852e-03,-1.075595238095237854e-01,3.352380952380951129e-02,-1.072976190476189751e-01,3.249999999999988141e-03,-1.240000000000000269e-01
-4.809523809523846838e-03,-1.690238095238100480e-01,-4.535714285714396304e-03,-1.400238095238096614e-01,-2.886904761904758934e-02,-9.377380952380945378e-02,1.214285714285718958e-03,-1.254285714285713060e-01,-1.976190476190482943e-03,7.226190476190439034e-03
1.736111111111111882e-02,-1.607936507936513215e-01,-8.581746031746062542e-02,-1.270079365079366251e-01,-1.541666666666666533e-02,-9.313888888888888218e-02,-7.686507936507928906e-03,-9.831746031746020631e-02,1.562301587301586497e-02,-4.805555555555551632e-03
3.452380952380977586e-03,-1.565476190476193796e-01,-8.382142857142868553e-02,-1.224523809523809237e-01,-1.516666666666658184e-02,-9.205952380952368841e-02,-7.714285714285694373e-03,-1.145833333333331344e-01,4.595238095238111421e-03,2.429761904761903665e-02
4.019841269841763209e-03,-1.638730158730162534e-01,1.805555555555375495e-03,-1.265039682539683685e-01,-2.171825396825398033e-02,-9.917063492063486752e-02,-9.968253968253966424e-03,-1.051309523809522972e-01,-1.476587301587301351e-02,-2.469444444444445635e-02
3.059523809523936183e-02,5.403571428571300739e-02,9.160714285714315064e-02,6.167857142857145758e-02,-1.292857142857137959e-02,8.404761904761905156e-02,-1.983333333333331394e-02,1.096071428571428474e-01,5.821428571428566810e-03,3.536904761904753614e-02
1.467658730158731828e-01,4.852777777777655954e-02,7.858730158730155291e-02,5.811111111111111338e-02,-1.511507936507937647e-02,8.774206349206355171e-02,-2.196031746031749596e-02,8.169444444444447229e-02,7.333333333333315850e-03,-3.168650793650794328e-02
2.857142857142973974e-02,5.847619047618946020e-02,8.858333333333361093e-02,7.194047619047615194e-02,-8.654761904761866520e-03,8.740476190476190177e-02,-2.296428571428569404e-02,1.030357142857143277e-01,-5.023809523809511998e-03,3.863095238095230061e-02
1.390714285714286236e-01,5.534920634920559301e-02,8.107936507936512605e-02,6.787301587301580730e-02,-1.995238095238098183e-02,8.994444444444446574e-02,-2.419841269841270862e-02,9.053968253968258662e-02,-7.396825396825398163e-03,-3.230952380952378106e-02
-1.614285714285688955e-02,-1.776190476190479817e-01,8.035714285714385535e-03,-1.443809523809523043e-01,-2.542857142857139069e-02,-2.616666666666662630e-02,-1.164285714285717005e-02,-1.483452380952382799e-01,-1.319047619047619344e-02,-5.119047619047631566e-03
2.749999999999835909e-03,-1.637023809523814599e-01,-8.013095238095245543e-02,-1.252142857142856391e-01,-1.192857142857142554e-02,-8.889285714285709294e-02,2.761904761904744078e-03,-1.149047619047617319e-01,1.310714285714285193e-02,6.154761904761903331e-03
-1.928571428571675128e-03,-1.578333333333336863e-01,-7.947619047619053356e-02,-1.218928571428570667e-01,-1.340476190476186033e-02,-9.649999999999987754e-02,3.023809523809531906e-03,-1.312499999999998113e-01,1.697619047619047111e-02,2.228571428571424554e-02
-1.128174603174572632e-02,-1.637103174603179445e-01,5.503968253968218559e-03,-1.240674603174603124e-01,-1.944841269841271481e-02,-9.959126984126978610e-02,6.361111111111106449e-03,-1.212499999999998856e-01,-1.140079365079364054e-02,-2.111507936507935057e-02
2.527380952381042684e-02,5.801190476190383472e-02,1.049285714285719678e-01,7.433333333333348725e-02,-9.321428571428532622e-03,-2.297619047619000633e-03,1.705952380952380221e-02,1.364404761904761676e-01,1.380952380952370738e-03,3.419047619047613229e-02
3.911111111111130467e-02,5.234920634920546545e-02,8.910317460317515592e-02,7.212301587301599148e-02,5.634920634921209218e-04,8.862301587301597838e-02,2.163492063492059025e-02,9.825396825396826017e-02,4.400793650793636928e-03,-2.616269841269842564e-02
2.275793650793760114e-02,6.592460317460230312e-02,9.842857142857197594e-02,8.421031746031747145e-02,-6.801587301587273815e-03,-6.789682539682520904e-03,2.284126984126984283e-02,1.214365079365080091e-01,-5.515873015873020910e-04,3.854365079365069252e-02
2.267063492063565999e-02,6.393650793650731967e-02,9.492063492063566865e-02,8.103174603174606583e-02,-7.678571428571420027e-03,8.825793650793652134e-02,2.457539682539679193e-02,1.068650793650793573e-01,-5.150793650793647135e-03,-2.942857142857146016e-02
3.079365079365854740e-03,5.222222222222162175e-02,9.350000000000054101e-02,8.912698412698416561e-02,-3.589682539682544082e-02,1.025674603174604321e-01,6.567460317460312169e-02,6.484126984126982463e-02,-3.968253968260511411e-06,4.888888888888887931e-03
1.020238095238074072e-02,6.009523809523781290e-02,9.861904761904811967e-02,9.955952380952390324e-02,-1.251190476190482126e-02,9.913095238095237516e-02,-2.619047619047610263e-03,9.017857142857152453e-02,8.559523809523805066e-03,-1.121428571428571483e-02
8.503968253968562097e-03,6.183730158730123272e-02,1.049761904761909309e-01,1.050515873015873541e-01,-1.460317460317458668e-02,9.778968253968263469e-02,-1.090079365079365745e-02,7.394444444444446540e-02,7.539682539683002088e-05,1.332539682539681317e-02
2.166666666666268448e-03,6.069047619047604480e-02,1.187738095238100311e-01,1.136904761904761613e-01,-1.034523809523807576e-02,1.055238095238095614e-01,-1.074999999999999220e-02,9.047619047619046007e-02,-9.404761904761922697e-03,-2.082142857142856365e-02
3.357142857142841191e-02,-1.014365079365080469e-01,-1.050317460317459900e-01,-1.274007936507936534e-01,-9.924603174603228301e-03,-1.053293650793648839e-01,-1.007698412698411622e-01,-8.584126984126982940e-02,8.551587301587296186e-03,3.361111111111107080e-02
