F1,F2,F3,F4,F5,F6,F7,F8,F9
-1.419047619047617004e-02,-5.142857142857132358e-02,-1.097619047619045607e-01,5.073809523809533206e-02,-9.402380952380956503e-02,-6.542857142857140540e-02,9.223809523809517463e-02,-3.044047619047622888e-01,3.626190476190477296e-02
-1.392857142857133190e-02,-5.023809523809510957e-02,-1.092380952380951620e-01,4.992857142857149572e-02,-7.395238095238082510e-02,-2.155000000000001359e-01,1.265714285714285570e-01,9.383333333333331028e-02,-2.674761904761904785e-01
-1.357142857142849823e-02,-3.845238095238089071e-02,-8.066666666666647001e-02,4.469047619047619019e-02,-6.004761904761904412e-02,-7.150000000000003575e-02,3.156904761904761880e-01,2.605476190476187504e-01,1.833095238095240054e-01
-1.499999999999993006e-02,-5.633333333333326309e-02,-9.002380952380940882e-02,8.380952380952370884e-02,-2.526904761904760766e-01,7.147619047619048482e-02,-1.000238095238095010e-01,-8.252380952380952706e-02,-1.869047619047618097e-02
-1.499999999999995781e-02,-5.566666666666664209e-02,-8.883333333333322257e-02,8.333333333333318993e-02,-2.521666666666664836e-01,6.183333333333330267e-02,-1.096666666666665929e-01,-9.216666666666664676e-02,8.333333333333331483e-03
-1.499999999999994393e-02,-5.407142857142849951e-02,-8.690476190476179030e-02,8.292857142857137931e-02,-2.314999999999999281e-01,9.126190476190468304e-02,-2.702380952380953882e-01,5.426190476190474732e-02,-3.073809523809521022e-02
-1.499999999999988842e-02,-5.285714285714280397e-02,-8.435714285714274174e-02,8.216666666666658236e-02,-2.303571428571426494e-01,6.130952380952377906e-02,-3.001904761904761187e-01,6.380952380952374658e-02,1.547619047619049754e-02
-1.390476190476180873e-02,-5.148809523809512456e-02,-8.355952380952362535e-02,5.515476190476188700e-02,-2.529166666666664010e-01,1.026071428571426886e-01,8.984523809523806137e-02,-2.718214285714287692e-01,-3.391666666666663665e-02
-1.390476190476182261e-02,-5.016666666666658170e-02,-8.035714285714265492e-02,5.407142857142858972e-02,-2.513571428571425570e-01,6.997619047619052512e-02,1.016428571428570904e-01,-3.044523809523815294e-01,1.454761904761906616e-02
-1.335714285714283134e-02,-3.890476190476185175e-02,-6.899999999999978373e-02,5.183333333333338400e-02,-1.050833333333333341e-01,2.637857142857139570e-01,2.893571428571428128e-01,2.346904761904761161e-01,-7.332142857142856518e-02
-1.324999999999980360e-02,-3.542857142857131630e-02,-6.066666666666645225e-02,4.957142857142863429e-02,-1.011666666666667380e-01,6.961904761904766370e-02,3.258095238095234936e-01,2.662142857142856256e-01,3.929761904761904651e-02
-1.499999999999998557e-02,-2.999999999999986011e-02,-2.731904761904764833e-01,1.183095238095237395e-01,9.997619047619067667e-02,-2.138571428571431066e-01,-6.819047619047616249e-02,-4.902380952380953893e-02,-2.902380952380952117e-02
-1.499999999999997169e-02,-2.933333333333316972e-02,-2.683333333333335347e-01,1.170000000000000068e-01,9.833333333333346693e-02,-2.046666666666667467e-01,-9.583333333333328430e-02,-7.666666666666667462e-02,1.449999999999999900e-02
-1.499999999999995781e-02,-2.957142857142837367e-02,-2.689761904761908129e-01,1.166904761904761778e-01,8.902380952380967161e-02,-2.170714285714288316e-01,-1.081428571428570129e-01,3.202380952380953771e-02,-5.897619047619050842e-02
-1.500000000000001332e-02,-2.849999999999992123e-02,-2.545000000000001150e-01,1.140000000000000735e-01,8.583333333333342807e-02,-1.933333333333333293e-01,-2.603333333333332500e-01,5.583333333333330428e-02,3.599999999999998340e-02
-1.399999999999995692e-02,-2.834523809523790266e-02,-2.644166666666666332e-01,8.798809523809542066e-02,9.969047619047637088e-02,-2.435119047619049015e-01,6.332142857142854242e-02,-9.517857142857143182e-02,-6.554761904761906288e-02
-1.396428571428573462e-02,-2.716666666666655433e-02,-2.442619047619044859e-01,8.383333333333344017e-02,9.564285714285727935e-02,-2.188333333333331854e-01,9.123809523809525701e-02,-2.600238095238094904e-01,3.353571428571426594e-02
-1.380952380952372993e-02,-2.692857142857126018e-02,-2.464285714285713302e-01,8.307142857142871262e-02,6.754761904761913405e-02,-2.495000000000001938e-01,1.074047619047619195e-01,6.990476190476188623e-02,-2.512619047619047419e-01
-1.345238095238097953e-02,-2.390476190476187313e-02,-1.214761904761903488e-01,6.776190476190482870e-02,5.497619047619049099e-02,-1.117857142857143771e-01,2.845476190476190492e-01,2.302857142857142325e-01,1.730476190476190612e-01
-1.499999999999998557e-02,-2.957142857142849163e-02,-1.004047619047618162e-01,2.741666666666664476e-01,2.979285714285707098e-01,2.747619047619042632e-01,-9.373809523809521760e-02,-5.040476190476188278e-02,-1.773809523809524724e-02
-1.500000000000005496e-02,-2.909523809523809068e-02,-9.835714285714290683e-02,2.734047619047615396e-01,2.969761904761896720e-01,2.659761904761899776e-01,-1.025238095238094477e-01,-5.919047619047616837e-02,7.809523809523815675e-03
-1.499999999999994393e-02,-2.886904761904767955e-02,-9.796428571428569820e-02,2.731309523809519746e-01,2.662023809523805795e-01,2.743690476190471794e-01,-1.362976190476190841e-01,3.346428571428572418e-02,-2.903571428571428276e-02
-1.499999999999995781e-02,-2.816666666666669400e-02,-9.316666666666675867e-02,2.718333333333328716e-01,2.646666666666664947e-01,2.466666666666664509e-01,-1.639999999999999791e-01,4.266666666666666524e-02,1.449999999999999206e-02
-1.328571428571422020e-02,-2.682142857142849612e-02,-9.434523809523800986e-02,9.625000000000000222e-02,3.004880952380949988e-01,3.062499999999997446e-01,9.891666666666650010e-02,-9.582142857142858516e-02,-3.163095238095237072e-02
-1.328571428571423407e-02,-2.611904761904752098e-02,-8.795238095238085141e-02,9.438095238095228767e-02,2.985476190476186176e-01,2.768095238095232835e-01,1.095476190476188938e-01,-1.252619047619047132e-01,1.333333333333332898e-02
-1.305952380952372927e-02,-2.408333333333332466e-02,-8.629761904761892866e-02,9.334523809523803672e-02,1.129761904761903690e-01,3.063452380952377818e-01,1.436547619047616464e-01,7.534523809523810400e-02,-6.822619047619049581e-02
-1.295238095238084031e-02,-2.269047619047622616e-02,-6.571428571428565568e-02,8.880952380952369940e-02,1.089523809523808007e-01,1.244285714285713745e-01,1.770952380952378336e-01,1.056190476190476957e-01,3.645238095238094445e-02
-5.448809523809543948e-02,-9.696428571428561405e-02,6.875000000000022760e-02,-1.102261904761904082e-01,-6.738095238095236084e-02,-3.775000000000003353e-02,-7.346428571428573195e-02,-5.829761904761905644e-02,-3.017857142857139491e-02
-5.372619047619055926e-02,-9.460714285714270921e-02,6.734523809523827731e-02,-1.084880952380952029e-01,-6.649999999999996192e-02,-2.884523809523813209e-02,-1.024404761904761790e-01,-8.727380952380951740e-02,1.453571428571429069e-02
-5.309523809523816057e-02,-9.359523809523809246e-02,6.357142857142869530e-02,-1.074285714285714288e-01,-6.083333333333337117e-02,-5.459523809523811333e-02,-1.284285714285713920e-01,3.566666666666667984e-02,-6.126190476190473966e-02
-5.061904761904751499e-02,-8.735714285714274441e-02,5.980952380952388875e-02,-1.018809523809524054e-01,-5.816666666666671370e-02,-3.128571428571436108e-02,-2.853571428571426427e-01,5.904761904761896690e-02,3.580952380952382580e-02
-5.148809523809520089e-02,-9.151190476190472489e-02,6.534523809523831717e-02,-9.941666666666648666e-02,-8.232142857142853154e-02,-7.784523809523816174e-02,7.067857142857142394e-02,-1.234166666666667439e-01,-7.002380952380952983e-02
-4.957142857142845388e-02,-8.577380952380941892e-02,6.265476190476210183e-02,-9.308333333333317083e-02,-7.923809523809519084e-02,-5.327380952380954271e-02,1.018928571428570767e-01,-2.984880952380952746e-01,3.488095238095238748e-02
-4.701190476190469231e-02,-8.150000000000004463e-02,5.633333333333342963e-02,-9.107142857142855319e-02,-5.882142857142853842e-02,-1.984285714285714541e-01,1.351666666666666294e-01,8.999999999999992728e-02,-2.646666666666668832e-01
-3.602380952380915963e-02,-5.745238095238076187e-02,4.730952380952395397e-02,-6.645238095238092946e-02,-4.692857142857141672e-02,-5.811904761904759104e-02,3.248809523809526589e-01,2.537380952380948740e-01,1.790476190476190388e-01
-5.313095238095238287e-02,-9.409523809523796800e-02,6.026190476190491224e-02,-1.092619047619047545e-01,-9.020238095238093667e-02,3.947619047619048416e-02,-1.163571428571428118e-01,-7.835714285714283356e-02,-1.833333333333331955e-02
-5.290476190476190582e-02,-9.307142857142843007e-02,5.966666666666679136e-02,-1.085714285714285826e-01,-8.983333333333334836e-02,3.009523809523809157e-02,-1.257380952380951766e-01,-8.773809523809518451e-02,8.095238095238089376e-03
-4.995238095238092174e-02,-8.676190476190470680e-02,5.326190476190484357e-02,-1.055952380952381864e-01,-6.945238095238091824e-02,5.842857142857137837e-02,-2.814047619047617133e-01,5.140476190476189755e-02,-2.992857142857139469e-02
-4.929761904761894437e-02,-8.458333333333320492e-02,5.170238095238106901e-02,-1.035595238095238790e-01,-6.842857142857136643e-02,2.941666666666668817e-02,-3.104166666666661190e-01,6.034523809523805599e-02,1.482142857142858261e-02
-4.730952380952366948e-02,-8.376190476190464862e-02,5.554761904761920666e-02,-8.009523809523803883e-02,-2.172857142857141655e-01,9.130952380952374325e-02,1.197142857142856481e-01,-2.645952380952381611e-01,-3.352380952380951129e-02
-4.690476190476178947e-02,-8.183333333333318860e-02,5.459523809523821047e-02,-7.783333333333324056e-02,-2.161666666666665626e-01,5.890476190476192503e-02,1.318333333333332469e-01,-2.970000000000000417e-01,1.440476190476192714e-02
-3.383333333333309739e-02,-5.555952380952353803e-02,4.210714285714281524e-02,-6.665476190476184171e-02,-7.105952380952382241e-02,2.505119047619044359e-01,3.181071428571430326e-01,2.286071428571426756e-01,-7.222619047619041610e-02
-3.180952380952360020e-02,-4.997619047619003552e-02,3.919047619047629633e-02,-6.007142857142848402e-02,-6.783333333333327331e-02,5.785714285714287780e-02,3.550952380952383525e-01,2.590238095238093785e-01,3.852380952380952267e-02
-5.379761904761901775e-02,-6.861904761904755179e-02,9.121428571428567833e-02,-2.796904761904764336e-01,7.439285714285717721e-02,-6.180952380952381420e-02,-8.614285714285711826e-02,-4.711904761904761596e-02,-2.842857142857141417e-02
-5.303571428571420693e-02,-6.698809523809511057e-02,8.915476190476186169e-02,-2.754642857142858836e-01,7.247619047619049959e-02,-5.339285714285718631e-02,-1.126309523809523455e-01,-7.360714285714285710e-02,1.348809523809523306e-02
-5.290476190476190582e-02,-6.678571428571423996e-02,8.604761904761901170e-02,-2.749761904761907072e-01,6.414285714285716811e-02,-6.421428571428568211e-02,-1.241190476190475178e-01,3.004761904761906605e-02,-5.723809523809519906e-02
-5.042857142857141289e-02,-6.274999999999988920e-02,8.008333333333325643e-02,-2.592261904761907210e-01,6.010714285714287980e-02,-4.208333333333333370e-02,-2.708452380952377503e-01,5.201190476190475226e-02,3.313095238095240674e-02
-4.880952380952380959e-02,-6.278571428571429192e-02,8.688095238095236428e-02,-2.519523809523810387e-01,9.230952380952381353e-02,-2.085476190476191205e-01,9.085714285714284466e-02,-9.288095238095243900e-02,-6.507142857142859949e-02
-4.689285714285731238e-02,-5.941666666666682584e-02,8.205952380952362402e-02,-2.334404761904761427e-01,8.750000000000000833e-02,-1.854404761904761556e-01,1.194642857142856202e-01,-2.557738095238095699e-01,3.194047619047619274e-02
-4.623809523809534888e-02,-5.829761904761920216e-02,7.729761904761897617e-02,-2.342261904761905322e-01,6.188095238095233513e-02,-2.132261904761904858e-01,1.352023809523810183e-01,6.660714285714286476e-02,-2.490000000000000824e-01
-3.524999999999989947e-02,-4.405952380952375680e-02,5.796428571428571125e-02,-1.132976190476191469e-01,4.705952380952384273e-02,-7.922619047619047783e-02,3.151071428571431410e-01,2.237023809523807638e-01,1.679999999999999272e-01
-5.076190476190472339e-02,-6.489285714285703000e-02,6.067857142857136649e-02,-2.818690476190475747e-01,1.074999999999999706e-01,7.134523809523811433e-02,-2.367023809523808031e-01,-4.789285714285705653e-02,-1.740476190476190205e-02
-5.053571428571432961e-02,-6.413095238095233019e-02,5.982142857142844911e-02,-2.803214285714285547e-01,1.064166666666666733e-01,6.282142857142861136e-02,-2.452261904761904310e-01,-5.641666666666653174e-02,7.571428571428570099e-03
-4.936904761904762490e-02,-6.192857142857145086e-02,5.533333333333321363e-02,-2.790000000000001923e-01,7.761904761904761529e-02,7.090476190476185936e-02,-2.766904761904758203e-01,3.123809523809525923e-02,-2.810714285714284444e-02
-4.871428571428564752e-02,-6.044047619047611397e-02,5.301190476190469070e-02,-2.743452380952382530e-01,7.573809523809529876e-02,4.451190476190478029e-02,-3.030833333333329271e-01,3.958333333333335230e-02,1.373809523809523675e-02
-3.516666666666683899e-02,-4.796428571428565379e-02,5.427380952380958523e-02,-1.206547619047620146e-01,2.635833333333335027e-01,2.668452380952375802e-01,2.825357142857143899e-01,-9.215476190476179497e-02,-3.129761904761906022e-02
-3.476190476190490347e-02,-4.676190476190476841e-02,5.266666666666665331e-02,-1.153333333333333710e-01,2.613333333333332509e-01,2.374999999999994893e-01,2.935952380952380758e-01,-1.215000000000000246e-01,1.326190476190476641e-02
-3.104761904761901142e-02,-4.019047619047625558e-02,4.530952380952386893e-02,-1.129523809523810818e-01,8.047619047619045118e-02,2.665476190476185891e-01,3.272857142857146795e-01,7.171428571428564713e-02,-6.714285714285708750e-02
-2.902380952380931994e-02,-3.678571428571408841e-02,4.002380952380980156e-02,-9.400000000000008349e-02,7.566666666666668761e-02,8.626190476190473411e-02,3.617619047619050621e-01,1.005238095238094320e-01,3.557142857142858022e-02
-2.619047619047647907e-02,-2.416190476190477887e-01,1.160238095238094319e-01,1.143571428571426990e-01,-2.346190476190474494e-01,-4.004761904761905411e-02,-6.514285714285714124e-02,-5.514285714285717399e-02,-2.761904761904759864e-02
-2.611904761904788180e-02,-2.382619047619048969e-01,1.137142857142855457e-01,1.129047619047617440e-01,-2.319999999999998730e-01,-3.195238095238098208e-02,-9.109523809523813187e-02,-8.109523809523813687e-02,1.390476190476190241e-02
-2.571428571428586302e-02,-2.360476190476192837e-01,1.085476190476190872e-01,1.118809523809521922e-01,-2.257380952380951267e-01,-5.621428571428569582e-02,-1.152857142857142969e-01,3.354761904761907609e-02,-5.497619047619047017e-02
-2.528571428571439045e-02,-2.232380952380954020e-01,1.011904761904763306e-01,1.079999999999999016e-01,-2.151904761904760433e-01,-3.519047619047623726e-02,-2.566666666666667096e-01,5.371428571428565196e-02,3.266666666666670493e-02
-2.490476190476201973e-02,-2.335476190476191982e-01,1.108571428571428902e-01,1.026190476190475542e-01,-2.319761904761903359e-01,-6.440476190476188134e-02,5.645238095238093445e-02,-1.132142857142858089e-01,-6.188095238095235595e-02
-2.469047619047628345e-02,-2.206190476190476313e-01,1.052142857142858295e-01,9.747619047619046628e-02,-2.190952380952380374e-01,-4.261904761904761196e-02,8.240476190476181406e-02,-2.696190476190478136e-01,3.154761904761908820e-02
-2.352380952380950935e-02,-2.096190476190475938e-01,9.514285714285714013e-02,9.454761904761890823e-02,-1.980476190476190279e-01,-1.805476190476191789e-01,1.146190476190475371e-01,8.378571428571428281e-02,-2.363571428571430155e-01
-2.154761904761915564e-02,-1.000238095238093206e-01,6.911904761904774652e-02,7.164285714285723028e-02,-9.733333333333341053e-02,-5.361904761904758704e-02,2.817857142857141950e-01,2.301428571428569270e-01,1.598333333333332995e-01
-2.590476190476209001e-02,-2.380119047619047856e-01,9.165476190476211371e-02,1.168928571428569513e-01,-2.590119047619049431e-01,3.875000000000002054e-02,-9.241666666666670249e-02,-7.501190476190476575e-02,-1.694047619047617595e-02
-2.590476190476209001e-02,-2.367380952380953307e-01,9.076190476190491851e-02,1.160952380952378349e-01,-2.580714285714287293e-01,3.026190476190475376e-02,-1.009047619047618860e-01,-8.350000000000001865e-02,7.999999999999996697e-03
-2.500000000000009853e-02,-2.227857142857143369e-01,8.147619047619059085e-02,1.142857142857141295e-01,-2.382261904761904525e-01,5.738095238095233114e-02,-2.485476190476191838e-01,4.847619047619045052e-02,-2.705952380952378333e-02
-2.489285714285718182e-02,-2.193333333333334079e-01,7.890476190476206075e-02,1.126666666666665262e-01,-2.353095238095236630e-01,3.185714285714286165e-02,-2.740714285714286325e-01,5.614285714285707773e-02,1.403571428571428331e-02
-2.383333333333328280e-02,-2.201428571428571401e-01,8.478571428571447799e-02,8.652380952380944734e-02,-2.603095238095239350e-01,6.933333333333341342e-02,8.411904761904757943e-02,-2.505000000000002225e-01,-2.997619047619044103e-02
-2.383333333333335219e-02,-2.168333333333333501e-01,8.300000000000025413e-02,8.433333333333330184e-02,-2.568333333333334134e-01,4.116666666666667085e-02,9.416666666666659302e-02,-2.786666666666667846e-01,1.350000000000000852e-02
-2.069047619047633541e-02,-1.002380952380950985e-01,5.933333333333331433e-02,7.326190476190477807e-02,-1.180952380952381420e-01,2.226904761904759389e-01,2.709999999999996301e-01,2.159999999999998588e-01,-6.326190476190468592e-02
-2.022619047619046012e-02,-8.553571428571382640e-02,5.291666666666676455e-02,6.696428571428578169e-02,-1.044999999999999818e-01,5.129761904761907798e-02,3.022499999999999631e-01,2.422261904761902895e-01,3.460714285714287103e-02
-2.592857142857136338e-02,-7.314285714285623241e-02,2.669999999999989604e-01,3.024285714285707138e-01,2.646904761904763093e-01,-7.014285714285715956e-02,-6.030952380952377123e-02,-4.152380952380951840e-02,-2.307142857142857606e-02
-2.585714285714254407e-02,-7.161904761904687444e-02,2.628333333333324751e-01,2.992380952380945258e-01,2.602857142857143424e-01,-6.380952380952385761e-02,-7.564285714285713669e-02,-5.685714285714288385e-02,1.142857142857141989e-02
-2.559523809523780308e-02,-7.071428571428511889e-02,2.583095238095231005e-01,2.981190476190470062e-01,2.530238095238096507e-01,-7.371428571428570442e-02,-8.604761904761901170e-02,2.661904761904761163e-02,-3.999999999999998695e-02
-2.516666666666674684e-02,-6.669047619047575870e-02,2.410238095238087519e-01,2.867142857142853107e-01,2.391428571428571292e-01,-5.957142857142864317e-02,-1.386666666666665770e-01,4.000000000000000083e-02,2.321428571428572549e-02
-2.402380952380945428e-02,-6.911904761904692773e-02,2.603809523809517690e-01,2.692857142857137398e-01,2.618571428571429549e-01,-1.002142857142857835e-01,5.580952380952376723e-02,-7.054761904761906732e-02,-4.342857142857141362e-02
