Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
2.775557561562891351e-17,2.255140518769849223e-17,-1.136666666666665826e-01,-1.159999999999996451e-01,-9.949999999999989408e-02,-9.083333333333330761e-02,2.369999999999993501e-01,2.146666666666662004e-01,2.183333333333329629e-01,0.000000000000000000e+00
-4.163336342344337027e-17,2.428612866367529932e-17,-1.431666666666664700e-01,-1.483333333333332893e-01,-1.368333333333334179e-01,1.014999999999999236e-01,-1.279999999999999472e-01,-1.356666666666664356e-01,-1.594999999999998641e-01,0.000000000000000000e+00
-4.163336342344337027e-17,2.428612866367529932e-17,-1.431666666666664700e-01,-1.483333333333332893e-01,-1.368333333333334179e-01,1.014999999999999236e-01,-1.279999999999999472e-01,-1.356666666666664356e-01,-1.594999999999998641e-01,0.000000000000000000e+00
8.326672684688674053e-17,3.989863994746656317e-17,-2.384999999999999620e-01,-2.206666666666667609e-01,-2.008333333333333359e-01,1.313333333333332187e-01,-1.833333333333331538e-01,-1.934999999999999221e-01,1.555000000000000548e-01,0.000000000000000000e+00
8.326672684688674053e-17,3.989863994746656317e-17,-2.384999999999999620e-01,-2.206666666666667609e-01,-2.008333333333333359e-01,1.313333333333332187e-01,-1.833333333333331538e-01,-1.934999999999999221e-01,1.555000000000000548e-01,0.000000000000000000e+00
4.163336342344337027e-17,-5.204170427930421283e-18,-2.156666666666662013e-01,-2.144999999999999407e-01,-2.071666666666664158e-01,1.531666666666666177e-01,-1.939999999999998948e-01,1.478333333333336497e-01,-2.196666666666667045e-01,0.000000000000000000e+00
4.163336342344337027e-17,-5.204170427930421283e-18,-2.156666666666662013e-01,-2.144999999999999407e-01,-2.071666666666664158e-01,1.531666666666666177e-01,-1.939999999999998948e-01,1.478333333333336497e-01,-2.196666666666667045e-01,0.000000000000000000e+00
-5.551115123125782702e-17,2.949029909160572061e-17,-1.189285714285713003e-01,-1.064285714285714418e-01,-1.020952380952376976e-01,2.244047619047614961e-01,-9.642857142857128028e-02,2.220714285714284197e-01,2.274047619047612767e-01,0.000000000000000000e+00
-5.551115123125782702e-17,2.949029909160572061e-17,-1.189285714285713003e-01,-1.064285714285714418e-01,-1.020952380952376976e-01,2.244047619047614961e-01,-9.642857142857128028e-02,2.220714285714284197e-01,2.274047619047612767e-01,0.000000000000000000e+00
4.163336342344337027e-17,1.734723475976807094e-17,-2.039761904761903388e-01,-2.396428571428572407e-01,-1.974761904761905551e-01,1.276904761904761043e-01,1.723571428571429032e-01,-1.984761904761903617e-01,-2.104761904761904834e-01,0.000000000000000000e+00
4.163336342344337027e-17,1.734723475976807094e-17,-2.039761904761903388e-01,-2.396428571428572407e-01,-1.974761904761905551e-01,1.276904761904761043e-01,1.723571428571429032e-01,-1.984761904761903617e-01,-2.104761904761904834e-01,0.000000000000000000e+00
-5.551115123125782702e-17,3.295974604355933479e-17,-1.160000000000001585e-01,-1.159999999999998810e-01,-9.866666666666668029e-02,2.188333333333330744e-01,2.361666666666663861e-01,-9.799999999999987887e-02,2.236666666666659864e-01,0.000000000000000000e+00
-5.551115123125782702e-17,3.295974604355933479e-17,-1.160000000000001585e-01,-1.159999999999998810e-01,-9.866666666666668029e-02,2.188333333333330744e-01,2.361666666666663861e-01,-9.799999999999987887e-02,2.236666666666659864e-01,0.000000000000000000e+00
-4.163336342344337027e-17,5.030698080332740574e-17,-1.126666666666667066e-01,-1.214999999999999136e-01,-1.036666666666664766e-01,2.225000000000000033e-01,2.448333333333330419e-01,2.234999999999997822e-01,-1.029999999999999666e-01,0.000000000000000000e+00
-4.163336342344337027e-17,5.030698080332740574e-17,-1.126666666666667066e-01,-1.214999999999999136e-01,-1.036666666666664766e-01,2.225000000000000033e-01,2.448333333333330419e-01,2.234999999999997822e-01,-1.029999999999999666e-01,0.000000000000000000e+00
8.326672684688674053e-17,-1.908195823574487804e-17,-7.266666666666680985e-02,-7.050000000000010425e-02,-6.216666666666656460e-02,1.086666666666664394e-01,1.168333333333331781e-01,1.113333333333331315e-01,1.184999999999996612e-01,0.000000000000000000e+00
8.326672684688674053e-17,-1.908195823574487804e-17,-7.266666666666680985e-02,-7.050000000000010425e-02,-6.216666666666656460e-02,1.086666666666664394e-01,1.168333333333331781e-01,1.113333333333331315e-01,1.184999999999996612e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.938893903907228378e-18,-1.434999999999999332e-01,-1.490000000000001046e-01,9.733333333333332726e-02,-1.284999999999999476e-01,-1.306666666666665699e-01,-1.381666666666664933e-01,-1.575000000000000844e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.938893903907228378e-18,-1.434999999999999332e-01,-1.490000000000001046e-01,9.733333333333332726e-02,-1.284999999999999476e-01,-1.306666666666665699e-01,-1.381666666666664933e-01,-1.575000000000000844e-01,0.000000000000000000e+00
4.163336342344337027e-17,-5.204170427930421283e-18,-2.364999999999995162e-01,-2.156666666666667009e-01,1.246666666666668422e-01,-1.861666666666668968e-01,-1.845000000000000251e-01,-2.023333333333336148e-01,1.504999999999998839e-01,0.000000000000000000e+00
4.163336342344337027e-17,-5.204170427930421283e-18,-2.364999999999995162e-01,-2.156666666666667009e-01,1.246666666666668422e-01,-1.861666666666668968e-01,-1.845000000000000251e-01,-2.023333333333336148e-01,1.504999999999998839e-01,0.000000000000000000e+00
0.000000000000000000e+00,-3.989863994746656317e-17,-2.194999999999995011e-01,-2.106666666666665855e-01,1.466666666666665286e-01,-1.934999999999997278e-01,-1.886666666666667325e-01,1.438333333333335073e-01,-2.281666666666668786e-01,0.000000000000000000e+00
