Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9
-2.121428571428585902e-02,-2.121428571428575494e-02,-2.016666666666667301e-02,1.146309523809520836e-01,1.135476190476189529e-01,1.305476190476188292e-01,1.552023809523806475e-01,1.254523809523809541e-01,1.032142857142856612e-01
-7.133333333333327642e-02,-7.133333333333327642e-02,4.166666666666654639e-02,-2.399999999999997968e-02,-2.399999999999997968e-02,-2.399999999999998315e-02,-4.900000000000008515e-02,-4.900000000000007822e-02,-4.900000000000007822e-02
-6.891666666666662611e-02,-6.891666666666662611e-02,3.994047619047612352e-02,-2.317857142857139563e-02,-2.341666666666664814e-02,-2.341666666666664814e-02,-8.885714285714288452e-02,-8.891666666666668550e-02,2.567857142857144989e-02
-7.033333333333327553e-02,-7.033333333333327553e-02,4.066666666666660795e-02,-2.366666666666664837e-02,-2.366666666666664837e-02,-2.366666666666666571e-02,-8.933333333333336179e-02,2.966666666666665370e-02,-8.933333333333336179e-02
-6.490476190476188179e-02,-6.490476190476188179e-02,3.707142857142853298e-02,-2.240476190476189261e-02,-2.273809523809522393e-02,-2.273809523809523780e-02,-2.756428571428573560e-01,6.033333333333317644e-02,5.592857142857143166e-02
-6.999999999999992339e-02,-6.999999999999989564e-02,4.099999999999993927e-02,-2.333333333333332399e-02,-2.333333333333331705e-02,-2.333333333333331705e-02,4.966666666666652574e-02,-1.003333333333334826e-01,-1.003333333333334965e-01
-6.503571428571416901e-02,-6.503571428571415514e-02,3.833333333333329568e-02,-2.169047619047615588e-02,-2.186904761904759353e-02,-2.186904761904761435e-02,8.966666666666668617e-02,-3.067023809523815592e-01,5.420238095238098797e-02
-6.733333333333327286e-02,-6.733333333333327286e-02,3.933333333333334514e-02,-2.233333333333331616e-02,-2.233333333333332310e-02,-2.233333333333334045e-02,9.916666666666666685e-02,6.816666666666652830e-02,-3.250000000000003997e-01
-4.926190476190468043e-02,-4.926190476190470818e-02,3.249999999999995948e-02,-1.885714285714288480e-02,-1.909523809523809915e-02,-1.909523809523810609e-02,3.186666666666667092e-01,2.583333333333326376e-01,2.260714285714285343e-01
-7.016666666666654395e-02,-7.016666666666654395e-02,4.133333333333325671e-02,-5.849999999999999645e-02,-5.850000000000000339e-02,3.999999999999994532e-02,-4.800000000000006345e-02,-4.800000000000006345e-02,-4.800000000000006345e-02
-6.790476190476182894e-02,-6.790476190476182894e-02,3.957142857142853520e-02,-5.690476190476189550e-02,-5.723809523809523375e-02,3.933333333333329657e-02,-8.714285714285716078e-02,-8.723809523809525346e-02,2.542857142857144620e-02
-6.916666666666659857e-02,-6.916666666666659857e-02,4.033333333333329745e-02,-5.716666666666669200e-02,-5.716666666666669200e-02,3.833333333333328874e-02,-8.733333333333331838e-02,2.866666666666664587e-02,-8.733333333333331838e-02
