A0,A1,B0,B1,Irrelevant,Correlated
9.895833333333320381e-02,-3.177083333333334814e-01,-3.177083333333334259e-01,9.895833333333337034e-02,3.469446951953614189e-18,0.000000000000000000e+00
9.895833333333320381e-02,-3.177083333333334814e-01,-3.177083333333334259e-01,9.895833333333337034e-02,3.469446951953614189e-18,0.000000000000000000e+00
9.895833333333320381e-02,-3.177083333333334814e-01,-3.177083333333334259e-01,9.895833333333337034e-02,3.469446951953614189e-18,0.000000000000000000e+00
9.895833333333320381e-02,-3.177083333333334814e-01,-3.177083333333334259e-01,9.895833333333337034e-02,3.469446951953614189e-18,0.000000000000000000e+00
9.895833333333330095e-02,-3.177083333333334259e-01,9.895833333333334259e-02,-3.177083333333333148e-01,1.040834085586084257e-17,0.000000000000000000e+00
9.895833333333330095e-02,-3.177083333333334259e-01,9.895833333333334259e-02,-3.177083333333333148e-01,1.040834085586084257e-17,0.000000000000000000e+00
9.895833333333330095e-02,-3.177083333333334259e-01,9.895833333333334259e-02,-3.177083333333333148e-01,1.040834085586084257e-17,0.000000000000000000e+00
9.895833333333330095e-02,-3.177083333333334259e-01,9.895833333333334259e-02,-3.177083333333333148e-01,1.040834085586084257e-17,0.000000000000000000e+00
6.770833333333334259e-02,-1.406249999999999445e-01,3.177083333333332038e-01,3.177083333333332038e-01,3.469446951953614189e-18,0.000000000000000000e+00
6.770833333333334259e-02,-1.406249999999999445e-01,3.177083333333332038e-01,3.177083333333332038e-01,3.469446951953614189e-18,0.000000000000000000e+00
6.770833333333334259e-02,-1.406249999999999445e-01,3.177083333333332038e-01,3.177083333333332038e-01,3.469446951953614189e-18,0.000000000000000000e+00
6.770833333333334259e-02,-1.406249999999999445e-01,3.177083333333332038e-01,3.177083333333332038e-01,3.469446951953614189e-18,0.000000000000000000e+00
3.489583333333330373e-01,3.489583333333332038e-01,-6.770833333333332871e-02,-6.770833333333337034e-02,3.469446951953614189e-18,0.000000000000000000e+00
3.489583333333330373e-01,3.489583333333332038e-01,-6.770833333333332871e-02,-6.770833333333337034e-02,3.469446951953614189e-18,0.000000000000000000e+00
3.489583333333330373e-01,3.489583333333332038e-01,-6.770833333333332871e-02,-6.770833333333337034e-02,3.469446951953614189e-18,0.000000000000000000e+00
3.489583333333330373e-01,3.489583333333332038e-01,-6.770833333333332871e-02,-6.770833333333337034e-02,3.469446951953614189e-18,0.000000000000000000e+00
3.177083333333331483e-01,3.177083333333331483e-01,-1.406250000000000555e-01,6.770833333333330095e-02,3.469446951953614189e-18,0.000000000000000000e+00
3.177083333333331483e-01,3.177083333333331483e-01,-1.406250000000000555e-01,6.770833333333330095e-02,3.469446951953614189e-18,0.000000000000000000e+00
3.177083333333331483e-01,3.177083333333331483e-01,-1.406250000000000555e-01,6.770833333333330095e-02,3.469446951953614189e-18,0.000000000000000000e+00
3.177083333333331483e-01,3.177083333333331483e-01,-1.406250000000000555e-01,6.770833333333330095e-02,3.469446951953614189e-18,0.000000000000000000e+00
3.177083333333330928e-01,3.177083333333333148e-01,6.770833333333328707e-02,-1.406250000000000555e-01,3.469446951953614189e-18,0.000000000000000000e+00
3.177083333333330928e-01,3.177083333333333148e-01,6.770833333333328707e-02,-1.406250000000000555e-01,3.469446951953614189e-18,0.000000000000000000e+00
3.177083333333330928e-01,3.177083333333333148e-01,6.770833333333328707e-02,-1.406250000000000555e-01,3.469446951953614189e-18,0.000000000000000000e+00
3.177083333333330928e-01,3.177083333333333148e-01,6.770833333333328707e-02,-1.406250000000000555e-01,3.469446951953614189e-18,0.000000000000000000e+00
1.406250000000003608e-01,1.406250000000003053e-01,1.406249999999999722e-01,1.406250000000000555e-01,3.469446951953614189e-18,0.000000000000000000e+00
1.406250000000003608e-01,1.406250000000003053e-01,1.406249999999999722e-01,1.406250000000000555e-01,3.469446951953614189e-18,0.000000000000000000e+00
1.406250000000003608e-01,1.406250000000003053e-01,1.406249999999999722e-01,1.406250000000000555e-01,3.469446951953614189e-18,0.000000000000000000e+00
1.406250000000003608e-01,1.406250000000003053e-01,1.406249999999999722e-01,1.406250000000000555e-01,3.469446951953614189e-18,0.000000000000000000e+00
