#wrong pairs,#instances
0,0
1,15
2,47
3,101
4,133
5,159
6,171
7,120
8,109
9,68
10,54
11,24
12,12
13,6
14,3
15,2
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
