#wrong pairs,#instances
0,0
1,19
2,34
3,59
4,69
5,39
6,63
7,42
8,48
9,44
10,35
11,29
12,19
13,4
14,4
15,2
16,0
17,0
18,0
19,0
20,2
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
